dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.591203,5.103189,0.000434,0.017348,0.346963,6.939265,1.570072
0.050000,6.591203,5.103189,0.001735,0.034696,0.346963,0.000000,1.570644
0.050000,6.591202,5.105013,0.003903,0.052044,0.346963,-0.000000,1.571600
0.050000,6.591198,5.108049,0.006939,0.069393,0.346963,0.000000,1.572942
0.050000,6.591186,5.111952,0.010843,0.086741,0.346963,-0.000000,1.574674
0.050000,6.591162,5.116723,0.015613,0.104089,0.346963,0.000000,1.576801
0.050000,6.591121,5.122361,0.021251,0.121437,0.346963,0.000000,1.579329
0.050000,6.591056,5.128866,0.027757,0.138785,0.346963,0.000000,1.582265
0.050000,6.590959,5.136239,0.035130,0.156133,0.346963,-0.000000,1.585617
0.050000,6.590822,5.144478,0.043370,0.173482,0.346963,0.000000,1.589396
0.050000,6.590633,5.153584,0.052478,0.190830,0.346963,0.000000,1.593613
0.050000,6.590382,5.163556,0.062453,0.208178,0.346963,-0.000000,1.598280
0.050000,6.590057,5.174393,0.073296,0.225526,0.346963,0.000000,1.603412
0.050000,6.589642,5.186096,0.085006,0.242874,0.346963,-0.000000,1.609022
0.050000,6.589123,5.198663,0.097583,0.260222,0.346963,0.000000,1.615129
0.050000,6.588483,5.212092,0.111028,0.277571,0.346963,0.000000,1.621752
0.050000,6.587703,5.226383,0.125340,0.294919,0.346963,0.000000,1.628910
0.050000,6.586763,5.241534,0.140520,0.312267,0.346963,-0.000000,1.636626
0.050000,6.585641,5.257541,0.156567,0.329615,0.346963,0.000000,1.644925
0.050000,6.584314,5.274404,0.173482,0.346963,0.346963,0.000000,1.653833
0.050000,6.582754,5.292117,0.191263,0.364311,0.346963,0.000000,1.663378
0.050000,6.580936,5.310677,0.209913,0.381660,0.346963,0.000000,1.673592
0.050000,6.578828,5.330080,0.229429,0.399008,0.346963,-0.000000,1.684507
0.050000,6.576397,5.350318,0.249814,0.416356,0.346963,0.000000,1.696159
0.050000,6.573610,5.371386,0.271065,0.433704,0.346963,0.000000,1.708586
0.050000,6.570427,5.393274,0.293184,0.451052,0.346963,0.000000,1.721829
0.050000,6.566809,5.415974,0.316170,0.468400,0.346963,-0.000000,1.735929
0.050000,6.562712,5.439473,0.340024,0.485749,0.346963,0.000000,1.750934
0.050000,6.558090,5.463758,0.364745,0.503097,0.346963,0.000000,1.766890
0.050000,6.552893,5.488813,0.390334,0.520445,0.346963,-0.000000,1.783846
0.050000,6.547068,5.514619,0.416790,0.537793,0.346963,0.000000,1.801854
0.050000,6.540558,5.541155,0.444113,0.555141,0.346963,0.000000,1.820966
0.050000,6.533304,5.568396,0.472304,0.572489,0.346963,-0.000000,1.841234
0.050000,6.525242,5.596313,0.501362,0.589837,0.346963,0.000000,1.862711
0.050000,6.516306,5.624873,0.531287,0.607186,0.346963,-0.000000,1.885447
0.050000,6.506427,5.654037,0.562080,0.624534,0.346963,0.000000,1.909489
0.050000,6.495531,5.683763,0.593741,0.641882,0.346963,0.000000,1.934878
0.050000,6.483545,5.714000,0.626269,0.659230,0.346963,-0.000000,1.961651
0.050000,6.470390,5.744694,0.659664,0.676578,0.346963,0.000000,1.989832
0.050000,6.455990,5.775783,0.693926,0.693926,0.346963,0.000000,2.019436
0.050000,6.440266,5.807196,0.729056,0.711275,0.346963,-0.000000,2.050460
0.050000,6.423140,5.838857,0.765054,0.728623,0.346963,0.000000,2.082884
0.050000,6.404539,5.870682,0.801919,0.745971,0.346963,-0.000000,2.116669
0.050000,6.384389,5.902582,0.839651,0.763319,0.346963,0.000000,2.151749
0.050000,6.362625,5.934458,0.878251,0.780667,0.346963,-0.000000,2.188034
0.050000,6.339187,5.966208,0.917718,0.798015,0.346963,0.000000,2.225409
0.050000,6.314022,5.997727,0.958052,0.815364,0.346963,0.000000,2.263732
0.050000,6.287089,6.028904,0.999254,0.832712,0.346963,-0.000000,2.302836
0.050000,6.258356,6.059628,1.041323,0.850060,0.346963,0.000000,2.342533
0.050000,6.227803,6.089791,1.084260,0.867408,0.346963,0.000000,2.382621
0.050000,6.195421,6.119286,1.128064,0.884756,0.346963,-0.000000,2.422885
0.050000,6.161214,6.148012,1.172736,0.902104,0.346963,0.000000,2.463107
0.050000,6.125197,6.175874,1.218275,0.919453,0.346963,-0.000000,2.503076
0.050000,6.087394,6.202785,1.264681,0.936801,0.346963,0.000000,2.542585
0.050000,6.047839,6.228669,1.311955,0.954149,0.346963,0.000000,2.581449
0.050000,6.006575,6.253459,1.360096,0.971497,0.346963,-0.000000,2.619500
0.050000,5.963649,6.277100,1.409104,0.988845,0.346963,0.000000,2.656596
0.050000,5.919112,6.299546,1.458980,1.006193,0.346963,0.000000,2.692620
0.050000,5.873020,6.320763,1.509724,1.023542,0.346963,-0.000000,2.727481
0.050000,5.825429,6.340724,1.561335,1.040890,0.346963,0.000000,2.761113
0.050000,5.776394,6.359413,1.613813,1.058238,0.346963,0.000000,2.793473
0.050000,5.725971,6.376822,1.667158,1.075586,0.346963,0.000000,2.824539
0.050000,5.674214,6.392947,1.721371,1.092934,0.346963,0.000000,2.854306
0.050000,5.621173,6.407792,1.776452,1.110282,0.346963,-0.000000,2.882786
0.050000,5.569372,6.420864,1.832400,1.127631,0.346963,0.000000,2.900394
0.050000,5.514187,6.434377,1.889215,1.144979,0.346963,0.000000,2.902502
0.050000,5.458131,6.447978,1.946897,1.162327,0.346963,0.000000,2.904586
0.050000,5.401203,6.461667,2.005447,1.179675,0.346963,0.000000,2.906644
0.050000,5.343404,6.475440,2.064865,1.197023,0.346963,-0.000000,2.908671
0.050000,5.284733,6.489296,2.125150,1.214371,0.346963,0.000000,2.910667
0.050000,5.225191,6.503234,2.186302,1.231719,0.346963,0.000000,2.912627
0.050000,5.164776,6.517252,2.248322,1.249068,0.346963,0.000000,2.914550
0.050000,5.103489,6.531350,2.311209,1.266416,0.346963,0.000000,2.916432
0.050000,5.041331,6.545526,2.374963,1.283764,0.346963,0.000000,2.918270
0.050000,4.978301,6.559781,2.439585,1.301112,0.346963,-0.000000,2.920062
0.050000,4.914400,6.574115,2.505075,1.318460,0.346963,0.000000,2.921805
0.050000,4.849627,6.588527,2.571431,1.335808,0.346963,0.000000,2.923496
