dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.941203,5.102902,0.000217,0.008693,0.173860,3.477205,1.569977
0.050000,6.941203,5.103003,0.000318,0.002008,-0.133707,-6.151346,1.570264
0.050000,6.941203,5.103170,0.000485,0.003348,0.026813,3.210390,1.570742
0.050000,6.941202,5.104803,0.002118,0.032648,0.585997,11.183692,1.571412
0.050000,6.941200,5.107061,0.004376,0.045164,0.250324,-6.713455,1.572276
0.050000,6.941195,5.109822,0.007137,0.055217,0.201054,-0.985406,1.573334
0.050000,6.941184,5.113086,0.010401,0.065281,0.201286,0.004640,1.574588
0.050000,6.941167,5.116854,0.014169,0.075361,0.201598,0.006234,1.576040
0.050000,6.941141,5.121126,0.018441,0.085452,0.201812,0.004293,1.577691
0.050000,6.941104,5.125904,0.023219,0.095559,0.202152,0.006794,1.579545
0.050000,6.941052,5.131188,0.028504,0.105686,0.202528,0.007520,1.581604
0.050000,6.940983,5.136979,0.034295,0.115833,0.202934,0.008124,1.583870
0.050000,6.940893,5.143279,0.040596,0.126007,0.203484,0.010986,1.586347
0.050000,6.940778,5.150088,0.047406,0.136203,0.203920,0.008729,1.589040
0.050000,6.940634,5.157408,0.054727,0.146426,0.204458,0.010767,1.591951
0.050000,6.940456,5.165240,0.062561,0.156677,0.205029,0.011411,1.595085
0.050000,6.940239,5.173586,0.070909,0.166971,0.205884,0.017102,1.598447
0.050000,6.939978,5.182446,0.079774,0.177289,0.206345,0.009229,1.602041
0.050000,6.939667,5.191824,0.089156,0.187650,0.207219,0.017474,1.605874
0.050000,6.939299,5.201719,0.099059,0.198052,0.208050,0.016607,1.609951
0.050000,6.938869,5.212135,0.109484,0.208494,0.208838,0.015763,1.614278
0.050000,6.938368,5.223073,0.120433,0.218988,0.209877,0.020782,1.618862
0.050000,6.937789,5.234535,0.131909,0.229527,0.210775,0.017963,1.623709
0.050000,6.937123,5.246522,0.143915,0.240121,0.211887,0.022237,1.628829
0.050000,6.936362,5.259038,0.156454,0.250769,0.212960,0.021458,1.634228
0.050000,6.935496,5.272083,0.169528,0.261481,0.214235,0.025496,1.639914
0.050000,6.934516,5.285660,0.183140,0.272251,0.215406,0.023423,1.645898
0.050000,6.933409,5.299772,0.197295,0.283092,0.216822,0.028321,1.652189
0.050000,6.932166,5.314419,0.211995,0.294002,0.218202,0.027599,1.658796
0.050000,6.930773,5.329604,0.227244,0.304985,0.219653,0.029020,1.665731
0.050000,6.929218,5.345330,0.243047,0.316047,0.221256,0.032071,1.673004
0.050000,6.927487,5.361598,0.259407,0.327197,0.222984,0.034562,1.680628
0.050000,6.925565,5.378410,0.276328,0.338432,0.224697,0.034259,1.688615
0.050000,6.923437,5.395768,0.293816,0.349750,0.226370,0.033456,1.696977
0.050000,6.921086,5.413673,0.311874,0.361175,0.228501,0.042610,1.705730
0.050000,6.918495,5.432126,0.330509,0.372693,0.230349,0.036970,1.714886
0.050000,6.915645,5.451130,0.349725,0.384322,0.232584,0.044697,1.724461
0.050000,6.912517,5.470684,0.369528,0.396049,0.234555,0.039424,1.734470
0.050000,6.909088,5.490788,0.389922,0.407897,0.236952,0.047943,1.744930
0.050000,6.905339,5.511444,0.410916,0.419862,0.239300,0.046966,1.755857
0.050000,6.901244,5.532649,0.432513,0.431942,0.241591,0.045803,1.767268
0.050000,6.896779,5.554403,0.454720,0.444151,0.244183,0.051840,1.779181
0.050000,6.891919,5.576704,0.477544,0.456482,0.246619,0.048736,1.791614
0.050000,6.886636,5.599548,0.500991,0.468945,0.249257,0.052744,1.804586
0.050000,6.880900,5.622932,0.525068,0.481534,0.251793,0.050728,1.818115
0.050000,6.874682,5.646850,0.549781,0.494258,0.254475,0.053632,1.832219
0.050000,6.867949,5.671295,0.575137,0.507113,0.257101,0.052530,1.846918
0.050000,6.860669,5.696260,0.601141,0.520088,0.259504,0.048053,1.862229
0.050000,6.852806,5.721733,0.627801,0.533195,0.262142,0.052766,1.878170
0.050000,6.844325,5.747705,0.655122,0.546420,0.264487,0.046896,1.894759
0.050000,6.835188,5.774159,0.683109,0.559752,0.266644,0.043139,1.912010
0.050000,6.825356,5.801079,0.711769,0.573188,0.268731,0.041736,1.929940
0.050000,6.814791,5.828446,0.741104,0.586711,0.270446,0.034306,1.948559
0.050000,6.803452,5.856237,0.771120,0.600310,0.271985,0.030784,1.967880
0.050000,6.791297,5.884427,0.801818,0.613958,0.272967,0.019645,1.987908
0.050000,6.778288,5.912985,0.833200,0.627639,0.273608,0.012808,2.008649
0.050000,6.764382,5.941879,0.865266,0.641325,0.273729,0.002414,2.030104
0.050000,6.749539,5.971072,0.898015,0.654985,0.273199,-0.010582,2.052268
0.050000,6.733721,6.000522,0.931445,0.668588,0.272050,-0.022985,2.075134
0.050000,6.716891,6.030184,0.965549,0.682092,0.270091,-0.039177,2.098688
0.050000,6.699013,6.060010,1.000322,0.695462,0.267401,-0.053812,2.122909
0.050000,6.680056,6.089945,1.035755,0.708651,0.263774,-0.072531,2.147774
0.050000,6.659991,6.119932,1.071836,0.721616,0.259291,-0.089657,2.173248
0.050000,6.638794,6.149910,1.108551,0.734308,0.253860,-0.108633,2.199294
0.050000,6.616445,6.179816,1.145885,0.746684,0.247509,-0.127008,2.225867
0.050000,6.592930,6.209583,1.183820,0.758696,0.240247,-0.145254,2.252913
0.050000,6.568240,6.239144,1.222335,0.770302,0.232123,-0.162467,2.280376
0.050000,6.542373,6.268429,1.261408,0.781464,0.223240,-0.177672,2.308192
0.050000,6.515333,6.297370,1.301016,0.792148,0.213663,-0.191537,2.336293
0.050000,6.487130,6.325899,1.341132,0.802324,0.203534,-0.202572,2.364605
0.050000,6.457779,6.353949,1.381731,0.811976,0.193029,-0.210097,2.393055
0.050000,6.427303,6.381457,1.422785,0.821090,0.182290,-0.214796,2.421564
0.050000,6.395730,6.408363,1.464269,0.829662,0.171444,-0.216913,2.450057
0.050000,6.363090,6.434612,1.506154,0.837701,0.160766,-0.213566,2.478456
0.050000,6.329421,6.460154,1.548415,0.845220,0.150378,-0.207743,2.506687
0.050000,6.294761,6.484943,1.591027,0.852240,0.140408,-0.199402,2.534679
0.050000,6.259154,6.508941,1.633966,0.858792,0.131036,-0.187449,2.562365
0.050000,6.222641,6.532114,1.677212,0.864911,0.122378,-0.173159,2.589684
0.050000,6.185268,6.554436,1.720744,0.870637,0.114524,-0.157078,2.616578
0.050000,6.147078,6.575885,1.764544,0.876014,0.107536,-0.139762,2.642999
0.050000,6.108117,6.596446,1.808598,0.881080,0.101322,-0.124287,2.668902
0.050000,6.068426,6.616109,1.852893,0.885893,0.096257,-0.101282,2.694250
0.050000,6.028046,6.634868,1.897417,0.890492,0.091993,-0.085295,2.719013
0.050000,5.987016,6.652723,1.942164,0.894922,0.088598,-0.067903,2.743166
0.050000,5.945373,6.669675,1.987125,0.899224,0.086030,-0.051357,2.766693
0.050000,5.903152,6.685731,2.032296,0.903431,0.084156,-0.037482,2.789578
0.050000,5.860383,6.700900,2.077676,0.907590,0.083179,-0.019525,2.811816
0.050000,5.817095,6.715193,2.123262,0.911728,0.082748,-0.008633,2.833403
0.050000,5.773315,6.728624,2.169056,0.915872,0.082888,0.002807,2.854339
0.050000,5.729067,6.741206,2.215058,0.920048,0.083511,0.012456,2.874631
0.050000,5.684372,6.752956,2.261272,0.924271,0.084469,0.019169,2.894284
0.050000,5.646047,6.762436,2.300752,0.789603,-2.693369,-55.556765,2.900658
0.050000,5.606488,6.772124,2.341480,0.814554,0.499016,63.847696,2.902151
0.050000,5.566497,6.781855,2.382638,0.823163,0.172188,-6.536552,2.903632
0.050000,5.526073,6.791629,2.424226,0.831766,0.172058,-0.002599,2.905100
0.050000,5.485218,6.801444,2.466244,0.840362,0.171927,-0.002620,2.906554
0.050000,5.443930,6.811299,2.508692,0.848952,0.171795,-0.002649,2.907994
0.050000,5.402211,6.821194,2.551569,0.857535,0.171661,-0.002675,2.909417
0.050000,5.360060,6.831129,2.594874,0.866111,0.171526,-0.002706,2.910825
0.050000,5.317478,6.841102,2.638608,0.874681,0.171389,-0.002728,2.912214
0.050000,5.274466,6.851114,2.682770,0.883243,0.171252,-0.002754,2.913585
0.050000,5.231023,6.861164,2.727360,0.891799,0.171113,-0.002778,2.914936
0.050000,5.187151,6.871251,2.772378,0.900348,0.170972,-0.002812,2.916267
0.050000,5.142848,6.881375,2.817822,0.908889,0.170831,-0.002831,2.917575
0.050000,5.098117,6.891536,2.863693,0.917424,0.170688,-0.002857,2.918862
0.050000,5.052956,6.901734,2.909991,0.925951,0.170544,-0.002885,2.920124
0.050000,5.007368,6.911969,2.956714,0.934471,0.170398,-0.002911,2.921362
0.050000,4.961351,6.922241,3.003864,0.942983,0.170251,-0.002934,2.922574
0.050000,4.914907,6.932550,3.051438,0.951488,0.170103,-0.002961,2.923759
0.050000,4.868036,6.942896,3.099437,0.959986,0.169954,-0.002985,2.924917
0.050000,4.820738,6.953280,3.147861,0.968476,0.169803,-0.003013,2.926045
0.050000,4.773015,6.963701,3.196709,0.976959,0.169652,-0.003036,2.927143
0.050000,4.724866,6.974161,3.245981,0.985434,0.169499,-0.003062,2.928210
0.050000,4.676293,6.984659,3.295676,0.993901,0.169344,-0.003088,2.929245
0.050000,4.627295,6.995197,3.345794,1.002360,0.169188,-0.003113,2.930247
0.050000,4.577874,7.005775,3.396334,1.010812,0.169032,-0.003139,2.931214
0.050000,4.528030,7.016395,3.447297,1.019256,0.168873,-0.003164,2.932145
0.050000,4.477764,7.027056,3.498682,1.027691,0.168714,-0.003190,2.933040
0.050000,4.427075,7.037760,3.550488,1.036119,0.168553,-0.003216,2.933897
0.050000,4.376335,7.048431,3.602338,1.037009,0.017792,-3.015230,2.934709
0.050000,4.325970,7.058982,3.653796,1.029160,-0.156968,-3.495199,2.935469
0.050000,4.276041,7.069403,3.704802,1.020110,-0.181006,-0.480759,2.936179
0.050000,4.226547,7.079698,3.755355,1.011068,-0.180847,0.003196,2.936839
0.050000,4.177488,7.089870,3.805457,1.002033,-0.180688,0.003169,2.937450
0.050000,4.128866,7.099921,3.855107,0.993007,-0.180531,0.003142,2.938013
0.050000,4.080680,7.109856,3.904306,0.983988,-0.180375,0.003115,2.938530
0.050000,4.032931,7.119676,3.953055,0.974977,-0.180221,0.003088,2.939001
0.050000,3.985618,7.129383,4.001354,0.965973,-0.180068,0.003060,2.939428
0.050000,3.938741,7.138982,4.049203,0.956978,-0.179916,0.003032,2.939812
0.050000,3.892302,7.148473,4.096602,0.947989,-0.179766,0.003005,2.940153
0.050000,3.846299,7.157860,4.143553,0.939008,-0.179617,0.002977,2.940454
0.050000,3.800734,7.167144,4.190054,0.930035,-0.179470,0.002949,2.940714
0.050000,3.755606,7.176328,4.236108,0.921069,-0.179324,0.002923,2.940936
0.050000,3.710914,7.185414,4.281713,0.912110,-0.179179,0.002894,2.941119
0.050000,3.666660,7.194403,4.326871,0.903158,-0.179036,0.002866,2.941265
0.050000,3.622843,7.203297,4.371582,0.894213,-0.178894,0.002839,2.941376
0.050000,3.579463,7.212099,4.415846,0.885276,-0.178753,0.002811,2.941451
0.050000,3.536520,7.220809,4.459663,0.876345,-0.178614,0.002783,2.941493
0.050000,3.494015,7.229429,4.503034,0.867421,-0.178476,0.002755,2.941502
0.050000,3.451946,7.237962,4.545959,0.858504,-0.178340,0.002727,2.941478
0.050000,3.410314,7.246407,4.588439,0.849594,-0.178205,0.002700,2.941424
0.050000,3.369119,7.254766,4.630474,0.840690,-0.178071,0.002672,2.941339
0.050000,3.328361,7.263042,4.672063,0.831794,-0.177939,0.002645,2.941226
0.050000,3.288040,7.271233,4.713208,0.822903,-0.177808,0.002616,2.941084
0.050000,3.248155,7.279343,4.753909,0.814019,-0.177679,0.002590,2.940915
0.050000,3.208706,7.287371,4.794166,0.805142,-0.177551,0.002562,2.940719
0.050000,3.171112,7.295015,4.832530,0.767270,-0.757425,-11.597485,2.941848
0.050000,3.131513,7.302979,4.872922,0.807835,0.811301,31.374520,2.944521
0.050000,3.092076,7.310786,4.913125,0.804060,-0.075509,-17.736200,2.947896
0.050000,3.052800,7.318410,4.953134,0.800177,-0.077659,-0.042999,2.951959
0.050000,3.013686,7.325824,4.992943,0.796197,-0.079599,-0.038804,2.956695
0.050000,2.974736,7.333003,5.032550,0.792129,-0.081369,-0.035397,2.962092
0.050000,2.935949,7.339922,5.071949,0.787979,-0.083002,-0.032665,2.968138
0.050000,2.897328,7.346558,5.111136,0.783754,-0.084487,-0.029702,2.974822
0.050000,2.858872,7.352889,5.150109,0.779458,-0.085915,-0.028555,2.982134
0.050000,2.820585,7.358893,5.188864,0.775096,-0.087251,-0.026731,2.990066
0.050000,2.782469,7.364549,5.227398,0.770668,-0.088562,-0.026201,2.998606
0.050000,2.744527,7.369837,5.265706,0.766174,-0.089876,-0.026294,3.007746
0.050000,2.706763,7.374737,5.303787,0.761614,-0.091198,-0.026435,3.017477
0.050000,2.669182,7.379231,5.341636,0.756986,-0.092571,-0.027451,3.027789
0.050000,2.631788,7.383301,5.379251,0.752285,-0.094006,-0.028710,3.038671
0.050000,2.594590,7.386930,5.416626,0.747507,-0.095576,-0.031391,3.050112
0.050000,2.557593,7.390102,5.453758,0.742644,-0.097255,-0.033585,3.062101
0.050000,2.520808,7.392803,5.490643,0.737691,-0.099057,-0.036034,3.074624
