dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.357181,14.298386,0.000648,0.064790,3.239502,161.975082,5.196755
0.020000,1.357105,14.298531,0.000812,0.008216,-2.828712,-303.410691,5.196907
0.020000,1.356952,14.298822,0.001141,0.016440,0.411187,161.994955,5.197212
0.020000,1.356722,14.299259,0.001635,0.024679,0.411982,0.039778,5.197669
0.020000,1.360898,14.291345,0.010583,0.447400,21.136028,1036.202278,5.198279
0.020000,1.366568,14.280619,0.022715,0.606611,7.960546,-658.774112,5.199043
0.020000,1.373381,14.267757,0.037271,0.727798,6.059392,-95.057683,5.199963
0.020000,1.381344,14.252760,0.054250,0.848945,6.057322,-0.103526,5.201040
0.020000,1.390461,14.235637,0.073649,0.969978,6.051636,-0.284277,5.202274
0.020000,1.400740,14.216393,0.095466,1.090824,6.042309,-0.466349,5.203669
0.020000,1.412190,14.195033,0.119702,1.211802,6.048898,0.329448,5.205226
0.020000,1.424817,14.171567,0.146349,1.332376,6.028733,-1.008262,5.206948
0.020000,1.438634,14.146004,0.175408,1.452931,6.027704,-0.051418,5.208836
0.020000,1.453651,14.118350,0.206876,1.573388,6.022858,-0.242309,5.210894
0.020000,1.469879,14.088617,0.240749,1.693670,6.014136,-0.436117,5.213126
0.020000,1.487332,14.056817,0.277023,1.813700,6.001481,-0.632743,5.215534
0.020000,1.506021,14.022965,0.315691,1.933422,5.986114,-0.768357,5.218122
0.020000,1.525964,13.987069,0.356756,2.053214,5.989608,0.174682,5.220895
0.020000,1.547175,13.949147,0.400207,2.172545,5.966502,-1.155268,5.223856
0.020000,1.569671,13.909215,0.446040,2.291666,5.956057,-0.522260,5.227011
0.020000,1.593471,13.867288,0.494250,2.410517,5.942555,-0.675103,5.230364
0.020000,1.618592,13.823388,0.544830,2.529009,5.924633,-0.896117,5.233921
0.020000,1.645058,13.777528,0.597779,2.647429,5.920957,-0.183780,5.237689
0.020000,1.672887,13.729736,0.653083,2.765194,5.888266,-1.634570,5.241672
0.020000,1.702102,13.680031,0.710738,2.882750,5.877792,-0.523682,5.245878
0.020000,1.732728,13.628437,0.770737,2.999935,5.859290,-0.925107,5.250314
0.020000,1.764790,13.574980,0.833071,3.116741,5.840277,-0.950641,5.254988
0.020000,1.798314,13.519690,0.897732,3.233006,5.813238,-1.351973,5.259908
0.020000,1.833327,13.462595,0.964706,3.348742,5.786795,-1.322135,5.265083
0.020000,1.869858,13.403727,1.033988,3.464095,5.767689,-0.955286,5.270522
0.020000,1.907939,13.343120,1.105566,3.578891,5.739786,-1.395141,5.276236
0.020000,1.947599,13.280811,1.179427,3.693033,5.707112,-1.633721,5.282234
0.020000,1.988875,13.216836,1.255561,3.806713,5.683980,-1.156604,5.288528
0.020000,2.031798,13.151240,1.333953,3.919573,5.642978,-2.050082,5.295131
0.020000,2.076406,13.084065,1.414590,4.031856,5.614171,-1.440338,5.302055
0.020000,2.122735,13.015360,1.497456,4.143321,5.573245,-2.046325,5.309314
0.020000,2.170826,12.945174,1.582537,4.254033,5.535625,-1.881016,5.316922
0.020000,2.220717,12.873563,1.669814,4.363851,5.490866,-2.237952,5.324895
0.020000,2.272453,12.800581,1.759273,4.472966,5.455766,-1.754955,5.333249
0.020000,2.326075,12.726294,1.850892,4.580932,5.398304,-2.873113,5.342002
0.020000,2.381629,12.650765,1.944652,4.688002,5.353498,-2.240290,5.351172
0.020000,2.439163,12.574064,2.040532,4.794012,5.300477,-2.651084,5.360779
0.020000,2.498721,12.496269,2.138508,4.898795,5.239158,-3.065953,5.370843
0.020000,2.560357,12.417457,2.238560,5.002611,5.190811,-2.417316,5.381387
0.020000,2.624119,12.337714,2.340660,5.104990,5.118946,-3.593249,5.392433
0.020000,2.690059,12.257134,2.444782,5.206080,5.054509,-3.221854,5.404007
0.020000,2.758230,12.175811,2.550898,5.305832,4.987588,-3.346080,5.416133
0.020000,2.828687,12.093851,2.658980,5.404083,4.912535,-3.752632,5.428839
0.020000,2.901485,12.011362,2.768997,5.500874,4.839554,-3.649041,5.442153
0.020000,2.976678,11.928464,2.880918,5.596018,4.757233,-4.116040,5.456103
0.020000,3.054326,11.845281,2.994710,5.689600,4.679103,-3.906512,5.470722
0.020000,3.134481,11.761945,3.110337,5.781368,4.588369,-4.536693,5.486039
0.020000,3.217203,11.678598,3.227766,5.871452,4.504227,-4.207103,5.502089
0.020000,3.302547,11.595389,3.346961,5.959734,4.414107,-4.505998,5.518902
0.020000,3.390570,11.512474,3.467886,6.046252,4.325859,-4.412438,5.536513
0.020000,3.481326,11.430020,3.590505,6.130940,4.234417,-4.572074,5.554955
0.020000,3.574871,11.348202,3.714782,6.213889,4.147437,-4.348993,5.574261
0.020000,3.671256,11.267202,3.840683,6.295055,4.058320,-4.455855,5.594462
0.020000,3.770535,11.187212,3.968178,6.374705,3.982488,-3.791621,5.615588
0.020000,3.872755,11.108431,4.097234,6.452801,3.904824,-3.883201,5.637667
0.020000,3.977966,11.031066,4.227827,6.529653,3.842586,-3.111898,5.660724
0.020000,4.086210,10.955332,4.359934,6.605363,3.785476,-2.855485,5.684776
0.020000,4.197531,10.881450,4.493541,6.680368,3.750281,-1.759731,5.709840
0.020000,4.311968,10.809645,4.628640,6.754962,3.729677,-1.030240,5.735921
0.020000,4.429560,10.740148,4.765234,6.829676,3.735706,0.301474,5.763018
0.020000,4.550342,10.673193,4.903332,6.904922,3.762305,1.329954,5.791121
0.020000,4.674346,10.609017,5.042959,6.981344,3.821088,2.939145,5.820207
0.020000,4.801605,10.547856,5.184152,7.059652,3.915403,4.715732,5.850243
0.020000,4.932146,10.489948,5.326961,7.140445,4.039639,6.211807,5.881182
0.020000,5.065998,10.435529,5.471452,7.224534,4.204464,8.241277,5.912963
0.020000,5.203184,10.384834,5.617706,7.312688,4.407719,10.162726,5.945511
0.020000,5.343727,10.338091,5.765818,7.405616,4.646368,11.932442,5.978738
0.020000,5.487032,10.295698,5.915261,7.472165,3.327454,-65.945703,6.012397
0.020000,5.631460,10.258206,6.064477,7.460766,-0.569944,-194.869904,6.045998
0.020000,5.775542,10.225893,6.212137,7.383028,-3.886866,-165.846102,6.079105
0.020000,5.918787,10.198665,6.357947,7.290496,-4.626645,-36.988928,6.111527
0.020000,6.061095,10.176312,6.502000,7.202645,-4.392506,11.706944,6.143175
0.020000,6.202367,10.158623,6.644375,7.118768,-4.193846,9.933019,6.173978
0.020000,6.342505,10.145382,6.785137,7.038083,-4.034261,7.979222,6.203876
0.020000,6.481410,10.136371,6.924334,6.959860,-3.911172,6.154444,6.232824
0.020000,6.618987,10.131371,7.062002,6.883395,-3.823261,4.395567,6.260788
0.020000,6.755142,10.130165,7.198163,6.808040,-3.767723,2.776908,0.004562
0.020000,6.889786,10.132535,7.332828,6.733231,-3.740474,1.362454,0.030508
0.020000,7.022831,10.138264,7.465996,6.658433,-3.739865,0.030456,0.055440
0.020000,7.154197,10.147140,7.597661,6.583259,-3.758741,-0.943827,0.079366
0.020000,7.283804,10.158953,7.727806,6.507212,-3.802308,-2.178337,0.102298
0.020000,7.411583,10.173497,7.856409,6.430186,-3.851332,-2.451221,0.124259
0.020000,7.537467,10.190572,7.983446,6.351828,-3.917898,-3.328291,0.145272
0.020000,7.661395,10.209984,8.108885,6.271957,-3.993528,-3.781486,0.165364
0.020000,7.783313,10.231542,8.232695,6.190497,-4.072995,-3.973338,0.184565
0.020000,7.903172,10.255064,8.354840,6.107252,-4.162247,-4.462598,0.202908
0.020000,8.020929,10.280374,8.475286,6.022295,-4.247888,-4.282076,0.220425
0.020000,8.136545,10.307302,8.593997,5.935567,-4.336385,-4.424832,0.237149
0.020000,8.249989,10.335687,8.710938,5.847027,-4.426994,-4.530464,0.253112
0.020000,8.361231,10.365371,8.826072,5.756718,-4.515438,-4.422180,0.268349
0.020000,8.470248,10.396207,8.939366,5.664705,-4.600684,-4.262317,0.282890
0.020000,8.577019,10.428053,9.050786,5.570991,-4.685680,-4.249775,0.296768
0.020000,8.681528,10.460774,9.160297,5.475562,-4.771453,-4.288652,0.310012
0.020000,8.783762,10.494241,9.267869,5.378601,-4.848053,-3.830045,0.322652
0.020000,8.883713,10.528333,9.373474,5.280253,-4.917394,-3.467017,0.334716
0.020000,8.981370,10.562933,9.477081,5.180310,-4.997163,-3.988458,0.346229
0.020000,9.076732,10.597931,9.578661,5.079042,-5.063407,-3.312200,0.357219
0.020000,9.169792,10.633224,9.678189,4.976396,-5.132292,-3.444275,0.367708
0.020000,9.260555,10.668713,9.775644,4.872714,-5.184085,-2.589631,0.377721
0.020000,9.349015,10.704304,9.870996,4.767601,-5.255656,-3.578528,0.387278
0.020000,9.435180,10.739910,9.964227,4.661553,-5.302408,-2.337612,0.396400
0.020000,9.519050,10.775446,10.055315,4.554408,-5.357250,-2.742094,0.405108
0.020000,9.600629,10.810833,10.144239,4.446187,-5.411031,-2.689071,0.413418
0.020000,9.679926,10.845997,10.230982,4.337178,-5.450438,-1.970349,0.421349
0.020000,9.756944,10.880868,10.315527,4.227221,-5.497895,-2.372824,0.428916
0.020000,9.831690,10.915378,10.397854,4.116392,-5.541433,-2.176894,0.436135
0.020000,9.904171,10.949464,10.477951,4.004835,-5.577835,-1.820099,0.443021
0.020000,9.974397,10.983068,10.555803,3.892589,-5.612303,-1.723433,0.449587
0.020000,10.042373,11.016133,10.631394,3.779551,-5.651926,-1.981141,0.455846
0.020000,10.108107,11.048606,10.704712,3.665896,-5.682721,-1.539732,0.461810
0.020000,10.171610,11.080438,10.775746,3.551696,-5.710016,-1.364746,0.467489
0.020000,10.232888,11.111580,10.844483,3.436852,-5.742197,-1.609061,0.472895
0.020000,10.291948,11.141989,10.910912,3.321464,-5.769399,-1.360125,0.478038
0.020000,10.348802,11.171623,10.975025,3.205662,-5.790081,-1.034083,0.482927
0.020000,10.403456,11.200442,11.036813,3.089364,-5.814921,-1.241994,0.487570
0.020000,10.455918,11.228410,11.096264,2.972557,-5.840357,-1.271811,0.491975
0.020000,10.506196,11.255491,11.153371,2.855344,-5.860631,-1.013683,0.496151
0.020000,10.554298,11.281652,11.208127,2.737827,-5.875865,-0.761699,0.500105
0.020000,10.600232,11.306864,11.260525,2.619903,-5.896216,-1.017541,0.503843
0.020000,10.644006,11.331098,11.310559,2.501693,-5.910455,-0.711982,0.507371
0.020000,10.685623,11.354324,11.358219,2.383018,-5.933792,-1.166827,0.510695
0.020000,10.725095,11.376520,11.403503,2.264201,-5.940820,-0.351429,0.513821
0.020000,10.762425,11.397661,11.446404,2.145047,-5.957723,-0.845157,0.516754
0.020000,10.797619,11.417725,11.486916,2.025587,-5.973002,-0.763918,0.519498
0.020000,10.830688,11.436693,11.525038,1.906115,-5.973592,-0.029531,0.522058
0.020000,10.861630,11.454543,11.560760,1.786104,-6.000524,-1.346582,0.524437
0.020000,10.890456,11.471260,11.594083,1.666114,-5.999498,0.051316,0.526640
0.020000,10.917169,11.486828,11.625001,1.545907,-6.010387,-0.544465,0.528670
0.020000,10.941774,11.501231,11.653512,1.425541,-6.018307,-0.396016,0.530530
0.020000,10.964275,11.514456,11.679611,1.304984,-6.027804,-0.474857,0.532222
0.020000,10.984674,11.526491,11.703296,1.184229,-6.037757,-0.497639,0.533750
0.020000,11.002978,11.537325,11.724566,1.063486,-6.037182,0.028740,0.535115
0.020000,11.019189,11.546948,11.743418,0.942606,-6.043974,-0.339557,0.536320
0.020000,11.033308,11.555351,11.759849,0.821555,-6.052539,-0.428271,0.537366
0.020000,11.045339,11.562527,11.773857,0.700406,-6.057453,-0.245686,0.538255
0.020000,11.055284,11.568469,11.785442,0.579231,-6.058742,-0.064444,0.538988
0.020000,11.063145,11.573174,11.794604,0.458103,-6.056434,0.115372,0.539567
0.020000,11.068922,11.576635,11.801338,0.336733,-6.068514,-0.603973,0.539991
0.020000,11.072619,11.578852,11.805649,0.215526,-6.060330,0.409194,0.540263
0.020000,11.074351,11.579891,11.807669,0.100992,-5.726685,16.682223,0.540390
0.020000,11.074755,11.580133,11.808140,0.023551,-3.872067,92.730902,0.540420
0.020000,11.074755,11.580133,11.808140,0.000000,-1.177545,134.726123,0.540420
