dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000280,-0.350000,0.000035,0.003489,0.174435,8.721734,0.000799
0.020000,0.000269,-0.350000,0.000045,0.000525,-0.148189,-16.131195,0.000769
0.020000,0.000252,-0.350000,0.000063,0.000875,0.017487,8.283804,0.000719
0.020000,0.000227,-0.350000,0.000087,0.001224,0.017472,-0.000758,0.000649
0.020000,0.000196,-0.350000,0.000119,0.001573,0.017450,-0.001061,0.000559
0.020000,0.000157,-0.350000,0.000157,0.001922,0.017423,-0.001364,0.000449
0.020000,0.000112,-0.350000,0.000203,0.002269,0.017390,-0.001667,0.000319
0.020000,0.000059,-0.350000,0.000255,0.002616,0.017350,-0.001970,0.000170
0.020000,0.000000,-0.350000,0.000314,0.002962,0.017305,-0.002273,0.000001
0.020000,0.000595,-0.350000,0.000909,0.029723,1.338016,66.035544,6.282997
0.020000,0.001254,-0.350000,0.001568,0.032979,0.162828,-58.759402,6.282788
0.020000,0.001977,-0.350001,0.002291,0.036127,0.157385,-0.272144,6.282560
0.020000,0.002762,-0.350001,0.003076,0.039275,0.157393,0.000426,6.282312
0.020000,0.003611,-0.350002,0.003925,0.042422,0.157331,-0.003104,6.282045
0.020000,0.004522,-0.350003,0.004836,0.045575,0.157663,0.016568,6.281759
0.020000,0.005497,-0.350005,0.005811,0.048727,0.157623,-0.002003,6.281453
0.020000,0.006534,-0.350007,0.006848,0.051880,0.157656,0.001676,6.281129
0.020000,0.007635,-0.350009,0.007949,0.055041,0.158013,0.017820,6.280785
0.020000,0.008799,-0.350012,0.009113,0.058195,0.157703,-0.015482,6.280422
0.020000,0.010026,-0.350016,0.010340,0.061360,0.158274,0.028532,6.280041
0.020000,0.011317,-0.350020,0.011631,0.064520,0.157997,-0.013815,6.279641
0.020000,0.012670,-0.350025,0.012984,0.067690,0.158507,0.025507,6.279223
0.020000,0.014088,-0.350031,0.014402,0.070855,0.158225,-0.014111,6.278787
0.020000,0.015568,-0.350038,0.015882,0.074030,0.158769,0.027173,6.278332
0.020000,0.017112,-0.350046,0.017426,0.077202,0.158591,-0.008884,6.277860
0.020000,0.018720,-0.350055,0.019034,0.080381,0.158928,0.016850,6.277369
0.020000,0.020391,-0.350065,0.020705,0.083563,0.159148,0.011018,6.276861
0.020000,0.022126,-0.350076,0.022440,0.086743,0.158989,-0.007948,6.276336
0.020000,0.023924,-0.350089,0.024239,0.089933,0.159469,0.023963,6.275793
0.020000,0.025787,-0.350103,0.026101,0.093125,0.159622,0.007672,6.275234
0.020000,0.027713,-0.350119,0.028027,0.096318,0.159630,0.000387,6.274657
0.020000,0.029703,-0.350137,0.030018,0.099515,0.159883,0.012647,6.274064
0.020000,0.031758,-0.350156,0.032072,0.102718,0.160153,0.013527,6.273455
0.020000,0.033876,-0.350178,0.034191,0.105925,0.160338,0.009209,6.272829
0.020000,0.036059,-0.350201,0.036373,0.109136,0.160529,0.009589,6.272188
0.020000,0.038305,-0.350226,0.038620,0.112350,0.160699,0.008479,6.271531
0.020000,0.040617,-0.350254,0.040932,0.115567,0.160865,0.008282,6.270858
0.020000,0.042992,-0.350284,0.043308,0.118790,0.161174,0.015496,6.270171
0.020000,0.045432,-0.350317,0.045748,0.122018,0.161396,0.011093,6.269468
0.020000,0.047937,-0.350352,0.048253,0.125251,0.161626,0.011464,6.268751
0.020000,0.050507,-0.350390,0.050823,0.128488,0.161862,0.011834,6.268019
0.020000,0.053141,-0.350431,0.053457,0.131730,0.162106,0.012201,6.267273
0.020000,0.055840,-0.350475,0.056157,0.134977,0.162358,0.012566,6.266514
0.020000,0.058604,-0.350522,0.058921,0.138230,0.162616,0.012929,6.265741
0.020000,0.061434,-0.350573,0.061751,0.141487,0.162882,0.013290,6.264954
0.020000,0.064328,-0.350627,0.064646,0.144749,0.163102,0.010977,6.264155
0.020000,0.067288,-0.350684,0.067606,0.148016,0.163348,0.012322,6.263343
0.020000,0.070313,-0.350745,0.070632,0.151290,0.163698,0.017521,6.262519
0.020000,0.073404,-0.350811,0.073724,0.154570,0.163993,0.014709,6.261683
0.020000,0.076560,-0.350880,0.076881,0.157856,0.164294,0.015055,6.260836
0.020000,0.079782,-0.350953,0.080104,0.161148,0.164591,0.014843,6.259977
0.020000,0.083070,-0.351031,0.083393,0.164441,0.164669,0.003934,6.259107
0.020000,0.086424,-0.351113,0.086748,0.167746,0.165215,0.027281,6.258226
0.020000,0.089844,-0.351200,0.090169,0.171056,0.165543,0.016414,6.257335
0.020000,0.093330,-0.351292,0.093656,0.174370,0.165669,0.006315,6.256434
0.020000,0.096883,-0.351388,0.097210,0.177691,0.166078,0.020416,6.255524
0.020000,0.100502,-0.351490,0.100830,0.181022,0.166545,0.023348,6.254605
0.020000,0.104187,-0.351597,0.104517,0.184353,0.166540,-0.000229,6.253676
0.020000,0.107940,-0.351710,0.108271,0.187697,0.167201,0.033049,6.252740
0.020000,0.111759,-0.351828,0.112092,0.191044,0.167350,0.007466,6.251795
0.020000,0.115645,-0.351952,0.115980,0.194400,0.167770,0.020989,6.250842
0.020000,0.119598,-0.352082,0.119935,0.197761,0.168093,0.016117,6.249883
0.020000,0.123618,-0.352218,0.123958,0.201131,0.168458,0.018291,6.248916
0.020000,0.127706,-0.352360,0.128048,0.204506,0.168768,0.015466,6.247943
0.020000,0.131861,-0.352508,0.132206,0.207891,0.169263,0.024770,6.246965
0.020000,0.136084,-0.352663,0.136432,0.211279,0.169377,0.005707,6.245980
0.020000,0.140374,-0.352825,0.140725,0.214680,0.170040,0.033164,6.244990
0.020000,0.144733,-0.352994,0.145087,0.218084,0.170205,0.008221,6.243996
0.020000,0.149159,-0.353170,0.149517,0.221496,0.170627,0.021089,6.242997
0.020000,0.153654,-0.353353,0.154015,0.224919,0.171128,0.025058,6.241994
0.020000,0.158217,-0.353543,0.158582,0.228347,0.171405,0.013839,6.240988
0.020000,0.162848,-0.353741,0.163218,0.231781,0.171728,0.016152,6.239979
0.020000,0.167548,-0.353946,0.167922,0.235227,0.172270,0.027130,6.238968
0.020000,0.172317,-0.354160,0.172696,0.238680,0.172655,0.019228,6.237954
0.020000,0.177155,-0.354381,0.177539,0.242141,0.173045,0.019530,6.236939
0.020000,0.182061,-0.354611,0.182451,0.245607,0.173337,0.014565,6.235922
0.020000,0.187037,-0.354849,0.187432,0.249084,0.173834,0.024865,6.234905
0.020000,0.192083,-0.355095,0.192484,0.252570,0.174275,0.022074,6.233888
0.020000,0.197198,-0.355350,0.197605,0.256063,0.174689,0.020680,6.232871
0.020000,0.202382,-0.355614,0.202796,0.259566,0.175108,0.020963,6.231854
0.020000,0.207637,-0.355886,0.208058,0.263076,0.175533,0.021241,6.230839
0.020000,0.212961,-0.356168,0.213390,0.266596,0.175963,0.021515,6.229826
0.020000,0.218356,-0.356459,0.218792,0.270124,0.176399,0.021785,6.228815
0.020000,0.223821,-0.356759,0.224266,0.273660,0.176840,0.022050,6.227807
0.020000,0.229356,-0.357069,0.229810,0.277206,0.177286,0.022310,6.226801
0.020000,0.234962,-0.357388,0.235425,0.280761,0.177738,0.022566,6.225800
0.020000,0.240639,-0.357717,0.241111,0.284325,0.178194,0.022816,6.224803
0.020000,0.246387,-0.358056,0.246869,0.287898,0.178655,0.023062,6.223811
0.020000,0.252207,-0.358405,0.252699,0.291480,0.179100,0.022250,6.222824
0.020000,0.258097,-0.358764,0.258600,0.295069,0.179474,0.018688,6.221843
0.020000,0.264059,-0.359133,0.264574,0.298670,0.180052,0.028904,6.220868
0.020000,0.270093,-0.359512,0.270619,0.302281,0.180533,0.024028,6.219901
0.020000,0.276198,-0.359902,0.276737,0.305901,0.181018,0.024249,6.218941
0.020000,0.282376,-0.360302,0.282928,0.309529,0.181392,0.018728,6.217988
0.020000,0.288626,-0.360713,0.289191,0.313167,0.181899,0.025334,6.217045
0.020000,0.294948,-0.361135,0.295528,0.316817,0.182486,0.029370,6.216110
0.020000,0.301343,-0.361568,0.301937,0.320475,0.182906,0.020993,6.215185
0.020000,0.307811,-0.362011,0.308420,0.324141,0.183321,0.020735,6.214271
