dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.792905,1.739779,0.000434,0.017355,0.347099,6.941975,6.282473
0.050000,1.792905,1.739779,0.001735,0.034710,0.347099,0.000000,6.283037
0.050000,1.794731,1.739779,0.003905,0.052065,0.347099,0.000000,0.000793
0.050000,1.797769,1.739784,0.006942,0.069420,0.347099,-0.000000,0.002115
0.050000,1.801673,1.739795,0.010847,0.086775,0.347099,-0.000000,0.003824
0.050000,1.806446,1.739819,0.015619,0.104130,0.347099,0.000000,0.005926
0.050000,1.812086,1.739859,0.021260,0.121485,0.347099,-0.000000,0.008429
0.050000,1.818594,1.739923,0.027768,0.138839,0.347099,0.000000,0.011343
0.050000,1.825969,1.740019,0.035144,0.156194,0.347099,0.000000,0.014678
0.050000,1.834211,1.740156,0.043387,0.173549,0.347099,-0.000000,0.018448
0.050000,1.843321,1.740343,0.052499,0.190904,0.347099,0.000000,0.022669
0.050000,1.853297,1.740593,0.062478,0.208259,0.347099,0.000000,0.027357
0.050000,1.864139,1.740917,0.073325,0.225614,0.347099,-0.000000,0.032532
0.050000,1.875846,1.741332,0.085039,0.242969,0.347099,-0.000000,0.038216
0.050000,1.888418,1.741851,0.097622,0.260324,0.347099,0.000000,0.044432
0.050000,1.901852,1.742494,0.111072,0.277679,0.347099,0.000000,0.051209
0.050000,1.916149,1.743279,0.125389,0.295034,0.347099,0.000000,0.058576
0.050000,1.931305,1.744229,0.140575,0.312389,0.347099,0.000000,0.066568
0.050000,1.947317,1.745366,0.156628,0.329744,0.347099,-0.000000,0.075221
0.050000,1.964185,1.746716,0.173549,0.347099,0.347099,0.000000,0.084578
0.050000,1.981902,1.748308,0.191338,0.364454,0.347099,0.000000,0.094684
0.050000,2.000465,1.750172,0.209995,0.381809,0.347099,0.000000,0.105591
0.050000,2.019868,1.752343,0.229519,0.399164,0.347099,0.000000,0.117353
0.050000,2.040104,1.754859,0.249911,0.416518,0.347099,-0.000000,0.130035
0.050000,2.061165,1.757759,0.271171,0.433873,0.347099,0.000000,0.143704
0.050000,2.083041,1.761088,0.293298,0.451228,0.347099,0.000000,0.158436
0.050000,2.105718,1.764895,0.316294,0.468583,0.347099,-0.000000,0.174314
0.050000,2.129183,1.769233,0.340157,0.485938,0.347099,0.000000,0.191430
0.050000,2.153418,1.774161,0.364888,0.503293,0.347099,0.000000,0.209882
0.050000,2.178400,1.779741,0.390486,0.520648,0.347099,-0.000000,0.229781
0.050000,2.204105,1.786043,0.416952,0.538003,0.347099,0.000000,0.251242
0.050000,2.230500,1.793142,0.444286,0.555358,0.347099,-0.000000,0.274392
0.050000,2.257550,1.801119,0.472488,0.572713,0.347099,0.000000,0.299365
0.050000,2.285208,1.810062,0.501558,0.590068,0.347099,-0.000000,0.326299
0.050000,2.313424,1.820066,0.531495,0.607423,0.347099,0.000000,0.355340
0.050000,2.342133,1.831230,0.562300,0.624778,0.347099,-0.000000,0.386628
0.050000,2.371263,1.843660,0.593973,0.642133,0.347099,0.000000,0.420303
0.050000,2.400726,1.857469,0.626513,0.659488,0.347099,-0.000000,0.456487
0.050000,2.430423,1.872769,0.659921,0.676843,0.347099,0.000000,0.495280
0.050000,2.460236,1.889676,0.694197,0.694197,0.347099,-0.000000,0.536748
0.050000,2.490034,1.908303,0.729341,0.711552,0.347099,0.000000,0.580904
0.050000,2.519667,1.928759,0.765353,0.728907,0.347099,-0.000000,0.627698
0.050000,2.548973,1.951142,0.802232,0.746262,0.347099,0.000000,0.677000
0.050000,2.577774,1.975534,0.839979,0.763617,0.347099,-0.000000,0.728586
0.050000,2.605885,2.002002,0.878594,0.780972,0.347099,0.000000,0.782136
0.050000,2.633114,2.030586,0.918076,0.798327,0.347099,0.000000,0.837234
0.050000,2.659272,2.061302,0.958426,0.815682,0.347099,-0.000000,0.893384
0.050000,2.684181,2.094135,0.999644,0.833037,0.347099,0.000000,0.950029
0.050000,2.707675,2.129046,1.041730,0.850392,0.347099,-0.000000,1.006590
0.050000,2.729612,2.165969,1.084684,0.867747,0.347099,0.000000,1.062497
0.050000,2.749873,2.204818,1.128505,0.885102,0.347099,-0.000000,1.117224
0.050000,2.768370,2.245494,1.173194,0.902457,0.347099,0.000000,1.170318
0.050000,2.785040,2.287886,1.218750,0.919812,0.347099,-0.000000,1.221417
0.050000,2.799849,2.331880,1.265175,0.937167,0.347099,0.000000,1.270254
0.050000,2.812783,2.377365,1.312467,0.954522,0.347099,-0.000000,1.316658
0.050000,2.823852,2.424231,1.360627,0.971876,0.347099,0.000000,1.360540
0.050000,2.833077,2.472380,1.409655,0.989231,0.347099,-0.000000,1.401883
0.050000,2.840495,2.521718,1.459550,1.006586,0.347099,0.000000,1.440725
0.050000,2.846149,2.572162,1.510313,1.023941,0.347099,-0.000000,1.477147
0.050000,2.850052,2.623042,1.561345,1.017334,-0.132137,-9.584724,1.510876
0.050000,2.852287,2.673423,1.611778,0.999979,-0.347099,-4.299226,1.541619
0.050000,2.853032,2.722981,1.661343,0.982625,-0.347099,0.000000,1.569555
0.050000,2.852465,2.771674,1.710041,0.965270,-0.347099,-0.000000,1.595005
0.050000,2.851201,2.818101,1.757870,0.947915,-0.347099,0.000000,1.597914
0.050000,2.849946,2.865046,1.804832,0.930560,-0.347099,-0.000000,1.597125
0.050000,2.848751,2.911125,1.850926,0.913205,-0.347099,0.000000,1.596339
0.050000,2.847613,2.956337,1.896153,0.895850,-0.347099,-0.000000,1.595557
0.050000,2.846532,3.000682,1.940511,0.878495,-0.347099,0.000000,1.594780
0.050000,2.845506,3.044161,1.984002,0.861140,-0.347099,-0.000000,1.594008
0.050000,2.844533,3.086773,2.026625,0.843785,-0.347099,0.000000,1.593243
0.050000,2.843612,3.128518,2.068381,0.826430,-0.347099,0.000000,1.592483
0.050000,2.842740,3.169396,2.109268,0.809075,-0.347099,-0.000000,1.591731
0.050000,2.841918,3.209408,2.149288,0.791720,-0.347099,0.000000,1.590987
0.050000,2.841142,3.248552,2.188440,0.774365,-0.347099,-0.000000,1.590251
0.050000,2.840411,3.286830,2.226725,0.757010,-0.347099,0.000000,1.589524
0.050000,2.839723,3.324240,2.264141,0.739655,-0.347099,-0.000000,1.588805
0.050000,2.839078,3.360783,2.300690,0.722300,-0.347099,0.000000,1.588097
0.050000,2.838473,3.396459,2.336371,0.704946,-0.347099,-0.000000,1.587399
0.050000,2.837907,3.431268,2.371185,0.687591,-0.347099,0.000000,1.586711
0.050000,2.837379,3.465210,2.405130,0.670236,-0.347099,-0.000000,1.586035
0.050000,2.836885,3.498284,2.438208,0.652881,-0.347099,0.000000,1.585370
0.050000,2.836427,3.530491,2.470418,0.635526,-0.347099,-0.000000,1.584717
0.050000,2.836000,3.561830,2.501761,0.618171,-0.347099,0.000000,1.584077
0.050000,2.835605,3.592302,2.532236,0.600816,-0.347099,-0.000000,1.583449
0.050000,2.835240,3.621907,2.561842,0.583461,-0.347099,0.000000,1.582835
0.050000,2.834902,3.650644,2.590582,0.566106,-0.347099,0.000000,1.582235
0.050000,2.834592,3.678514,2.618453,0.548751,-0.347099,-0.000000,1.581649
0.050000,2.834306,3.705516,2.645457,0.531396,-0.347099,0.000000,1.581077
0.050000,2.834045,3.731651,2.671593,0.514041,-0.347099,0.000000,1.580520
0.050000,2.833806,3.756918,2.696861,0.496686,-0.347099,-0.000000,1.579978
0.050000,2.833588,3.781317,2.721261,0.479331,-0.347099,0.000000,1.579452
0.050000,2.833391,3.804849,2.744794,0.461976,-0.347099,-0.000000,1.578941
0.050000,2.833212,3.827513,2.767459,0.444621,-0.347099,0.000000,1.578447
0.050000,2.833050,3.849310,2.789256,0.427267,-0.347099,0.000000,1.577969
0.050000,2.832905,3.870239,2.810186,0.409912,-0.347099,0.000000,1.577508
0.050000,2.832775,3.890300,2.830247,0.392557,-0.347099,0.000000,1.577064
0.050000,2.832658,3.909494,2.849441,0.375202,-0.347099,-0.000000,1.576637
0.050000,2.832555,3.927820,2.867767,0.357847,-0.347099,0.000000,1.576228
0.050000,2.832464,3.945278,2.885226,0.340492,-0.347099,0.000000,1.575836
0.050000,2.832383,3.961868,2.901817,0.323137,-0.347099,0.000000,1.575463
0.050000,2.832313,3.977591,2.917540,0.305782,-0.347099,0.000000,1.575107
0.050000,2.832251,3.992446,2.932395,0.288427,-0.347099,0.000000,1.574770
0.050000,2.832198,4.006434,2.946382,0.271072,-0.347099,0.000000,1.574452
0.050000,2.832152,4.019553,2.959502,0.253717,-0.347099,-0.000000,1.574153
0.050000,2.832112,4.031805,2.971754,0.236362,-0.347099,0.000000,1.573873
