dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.792684,1.429779,0.000434,0.017355,0.347099,6.941975,6.282473
0.050000,1.792859,1.429779,0.000609,0.003494,-0.277218,-12.486325,6.283037
0.050000,1.794977,1.429779,0.002727,0.042367,0.777459,21.093534,0.000793
0.050000,1.798424,1.429784,0.006174,0.068945,0.531560,-4.917985,0.002115
0.050000,1.802859,1.429798,0.010609,0.088692,0.394942,-2.732357,0.003824
0.050000,1.808283,1.429824,0.016033,0.108485,0.395867,0.018507,0.005926
0.050000,1.814699,1.429870,0.022449,0.128323,0.396760,0.017846,0.008429
0.050000,1.822110,1.429943,0.029861,0.148226,0.398053,0.025859,0.011343
0.050000,1.830519,1.430053,0.038270,0.168191,0.399307,0.025078,0.014678
0.050000,1.839930,1.430209,0.047683,0.188249,0.401158,0.037027,0.018448
0.050000,1.850348,1.430423,0.058103,0.208399,0.402998,0.036798,0.022669
0.050000,1.861777,1.430709,0.069535,0.228648,0.404972,0.039479,0.027357
0.050000,1.874222,1.431081,0.081986,0.249019,0.407423,0.049031,0.032532
0.050000,1.887690,1.431558,0.095462,0.269531,0.410234,0.056204,0.038216
0.050000,1.902187,1.432157,0.109972,0.290185,0.413088,0.057093,0.044432
0.050000,1.917720,1.432900,0.125523,0.311020,0.416697,0.072166,0.051209
0.050000,1.934297,1.433811,0.142124,0.332030,0.420202,0.070115,0.058576
0.050000,1.951925,1.434915,0.159787,0.353262,0.424645,0.088854,0.066568
0.050000,1.970614,1.436242,0.178523,0.374714,0.429026,0.087614,0.075221
0.050000,1.990372,1.437824,0.198345,0.396435,0.434424,0.107975,0.084578
0.050000,2.011210,1.439696,0.219266,0.418428,0.439873,0.108977,0.094684
0.050000,2.033137,1.441899,0.241304,0.440751,0.446445,0.131427,0.105591
0.050000,2.056164,1.444476,0.264474,0.463412,0.453219,0.135479,0.117353
0.050000,2.080301,1.447476,0.288797,0.486462,0.461012,0.155867,0.130035
0.050000,2.105560,1.450954,0.314295,0.509943,0.469622,0.172200,0.143704
0.050000,2.131950,1.454970,0.340989,0.533884,0.478812,0.183790,0.158436
0.050000,2.159482,1.459593,0.368906,0.558345,0.489215,0.208067,0.174314
0.050000,2.188165,1.464896,0.398074,0.583370,0.500505,0.225804,0.191430
0.050000,2.218005,1.470963,0.428525,0.609014,0.512881,0.247517,0.209882
0.050000,2.249007,1.477889,0.460292,0.635330,0.526318,0.268742,0.229781
0.050000,2.281173,1.485776,0.493410,0.662373,0.540856,0.290752,0.251242
0.050000,2.314498,1.494739,0.527920,0.690195,0.556452,0.311933,0.274392
0.050000,2.348973,1.504907,0.563862,0.718847,0.573036,0.331684,0.299365
0.050000,2.384575,1.516420,0.601280,0.748359,0.590241,0.344095,0.326299
0.050000,2.421275,1.529432,0.640219,0.778770,0.608220,0.359572,0.355340
0.050000,2.459024,1.544112,0.680722,0.810058,0.625753,0.350671,0.386628
0.050000,2.497754,1.560641,0.722832,0.842197,0.642777,0.340479,0.420303
0.050000,2.537374,1.579211,0.766587,0.875100,0.658064,0.305732,0.456487
0.050000,2.577759,1.600020,0.812018,0.908630,0.670605,0.250832,0.495280
0.050000,2.618753,1.623269,0.859146,0.942550,0.678400,0.155883,0.536748
0.050000,2.660155,1.649154,0.907974,0.976563,0.680268,0.037366,0.580904
0.050000,2.701725,1.677851,0.958487,1.010263,0.673982,-0.125718,0.627698
0.050000,2.743175,1.709510,1.010644,1.043149,0.657724,-0.325163,0.677000
0.050000,2.784177,1.744238,1.064377,1.074653,0.630089,-0.552702,0.728586
0.050000,2.824372,1.782085,1.119586,1.104173,0.590390,-0.793978,0.782136
0.050000,2.863380,1.823035,1.176141,1.131116,0.538864,-1.030513,0.837234
0.050000,2.900823,1.867000,1.233890,1.154979,0.477255,-1.232184,0.893384
0.050000,2.936345,1.913821,1.292661,1.175405,0.408525,-1.374604,0.950029
0.050000,2.969629,1.963275,1.352272,1.192232,0.336542,-1.439662,1.006590
0.050000,3.000419,2.015094,1.412549,1.205532,0.265994,-1.410953,1.062497
0.050000,3.028528,2.068983,1.473328,1.215579,0.200948,-1.300917,1.117224
0.050000,3.053841,2.124638,1.534469,1.222821,0.144847,-1.122027,1.170318
0.050000,3.076312,2.181768,1.595859,1.227814,0.099857,-0.899792,1.221417
0.050000,3.095953,2.240108,1.657417,1.231156,0.066838,-0.660381,1.270254
0.050000,3.112826,2.299427,1.719089,1.233432,0.045518,-0.426406,1.316658
0.050000,3.127025,2.359531,1.780847,1.235173,0.034812,-0.214115,1.360540
0.050000,3.138665,2.420265,1.842687,1.236790,0.032336,-0.049519,1.401883
0.050000,3.147877,2.481509,1.904620,1.238658,0.037372,0.100723,1.440725
0.050000,3.154790,2.543173,1.966670,1.241004,0.046913,0.190815,1.477147
0.050000,3.159495,2.604478,2.028155,1.229698,-0.226122,-5.460704,1.510876
0.050000,3.162155,2.664379,2.088116,1.199218,-0.609599,-7.669540,1.541619
0.050000,3.163032,2.722596,2.146339,1.164471,-0.694930,-1.706619,1.569555
0.050000,3.162374,2.779178,2.202925,1.131705,-0.655332,0.791951,1.595005
0.050000,3.161087,2.826506,2.250271,0.946921,-3.695681,-60.806961,1.597914
0.050000,3.159839,2.873207,2.296988,0.934342,-0.251579,68.882029,1.597125
0.050000,3.158650,2.919042,2.342838,0.917009,-0.346655,-1.901508,1.596339
0.050000,3.157518,2.964012,2.387822,0.899680,-0.346578,0.001528,1.595557
0.050000,3.156443,3.008116,2.431940,0.882355,-0.346503,0.001500,1.594780
0.050000,3.155423,3.051356,2.475192,0.865033,-0.346430,0.001471,1.594008
0.050000,3.154455,3.093731,2.517577,0.847715,-0.346357,0.001442,1.593243
0.050000,3.153539,3.135241,2.559097,0.830401,-0.346287,0.001414,1.592483
0.050000,3.152673,3.175886,2.599752,0.813090,-0.346217,0.001385,1.591731
0.050000,3.151854,3.215667,2.639541,0.795783,-0.346150,0.001357,1.590987
0.050000,3.151083,3.254583,2.678465,0.778479,-0.346083,0.001327,1.590251
0.050000,3.150356,3.292635,2.716524,0.761178,-0.346018,0.001299,1.589524
0.050000,3.149673,3.329822,2.753718,0.743880,-0.345955,0.001270,1.588805
0.050000,3.149032,3.366146,2.790047,0.726585,-0.345893,0.001241,1.588097
0.050000,3.148431,3.401606,2.825512,0.709294,-0.345832,0.001212,1.587399
0.050000,3.147868,3.436201,2.860112,0.692005,-0.345773,0.001183,1.586711
0.050000,3.147343,3.469933,2.893848,0.674719,-0.345715,0.001154,1.586035
0.050000,3.146853,3.502801,2.926720,0.657436,-0.345659,0.001125,1.585370
0.050000,3.146397,3.534806,2.958728,0.640156,-0.345604,0.001097,1.584717
0.050000,3.145973,3.565947,2.989872,0.622879,-0.345551,0.001068,1.584077
0.050000,3.145580,3.596225,3.020152,0.605604,-0.345499,0.001039,1.583449
0.050000,3.145217,3.625639,3.049568,0.588331,-0.345448,0.001010,1.582835
0.050000,3.144882,3.654190,3.078121,0.571061,-0.345399,0.000981,1.582235
0.050000,3.144573,3.681878,3.105811,0.553794,-0.345352,0.000952,1.581649
0.050000,3.144290,3.708703,3.132638,0.536528,-0.345306,0.000923,1.581077
0.050000,3.144030,3.734665,3.158601,0.519265,-0.345261,0.000893,1.580520
0.050000,3.143793,3.759764,3.183701,0.502004,-0.345218,0.000865,1.579978
0.050000,3.143577,3.784000,3.207938,0.484746,-0.345176,0.000836,1.579452
0.050000,3.143380,3.807374,3.231313,0.467489,-0.345136,0.000807,1.578941
0.050000,3.143203,3.829885,3.253824,0.450234,-0.345097,0.000778,1.578447
0.050000,3.143042,3.851533,3.275474,0.432981,-0.345059,0.000749,1.577969
0.050000,3.142898,3.872319,3.296260,0.415730,-0.345023,0.000721,1.577508
0.050000,3.142769,3.892243,3.316184,0.398481,-0.344989,0.000691,1.577064
0.050000,3.142653,3.911304,3.335246,0.381233,-0.344955,0.000663,1.576637
0.050000,3.142551,3.929503,3.353445,0.363987,-0.344924,0.000634,1.576228
0.050000,3.142460,3.946840,3.370782,0.346742,-0.344893,0.000606,1.575836
0.050000,3.142380,3.963315,3.387257,0.329499,-0.344865,0.000576,1.575463
0.050000,3.142310,3.978928,3.402870,0.312257,-0.344837,0.000547,1.575107
0.050000,3.142249,3.993678,3.417621,0.295016,-0.344811,0.000520,1.574770
0.050000,3.142196,4.007567,3.431510,0.277777,-0.344787,0.000489,1.574452
0.050000,3.142150,4.020594,3.444536,0.260539,-0.344764,0.000462,1.574153
0.050000,3.142111,4.032759,3.456702,0.243302,-0.344742,0.000433,1.573873
0.050000,3.142078,4.044062,3.468005,0.226066,-0.344722,0.000404,1.573611
0.050000,3.142049,4.054504,3.478446,0.208830,-0.344703,0.000375,1.573370
0.050000,3.142026,4.064083,3.488026,0.191596,-0.344686,0.000347,1.573147
0.050000,3.142006,4.072802,3.496744,0.174363,-0.344670,0.000318,1.572944
0.050000,3.141990,4.080658,3.504601,0.157130,-0.344655,0.000290,1.572761
0.050000,3.141977,4.087653,3.511596,0.139898,-0.344642,0.000261,1.572598
0.050000,3.141966,4.093786,3.517729,0.122666,-0.344631,0.000233,1.572455
0.050000,3.141958,4.099058,3.523001,0.105435,-0.344621,0.000203,1.572331
0.050000,3.141951,4.103468,3.527411,0.088205,-0.344612,0.000176,1.572228
0.050000,3.141946,4.107017,3.530960,0.070974,-0.344605,0.000145,1.572145
0.050000,3.141943,4.109704,3.533647,0.053744,-0.344599,0.000119,1.572082
0.050000,3.141941,4.111530,3.535473,0.036515,-0.344594,0.000089,1.572039
