dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.185304,14.195832,0.000653,0.065310,3.265512,163.275600,0.000833
0.020000,0.185664,14.195832,0.001013,0.018002,-2.365395,-281.545364,0.000500
0.020000,0.187695,14.195832,0.003044,0.101557,4.177741,327.156823,6.283018
0.020000,0.196617,14.195826,0.011966,0.446072,17.225751,652.400490,6.282014
0.020000,0.208517,14.195804,0.023866,0.595019,7.447357,-488.919686,6.280671
0.020000,0.223401,14.195754,0.038750,0.744219,7.459977,0.630976,6.278984
0.020000,0.241275,14.195661,0.056624,0.893683,7.473222,0.662258,6.276947
0.020000,0.262145,14.195506,0.077495,1.043542,7.492920,0.984917,6.274555
0.020000,0.286020,14.195267,0.101371,1.193798,7.512832,0.995598,6.271798
0.020000,0.312909,14.194919,0.128262,1.344573,7.538748,1.295770,6.268669
0.020000,0.342823,14.194432,0.158180,1.495881,7.565384,1.331829,6.265156
0.020000,0.375773,14.193774,0.191137,1.647866,7.599263,1.693928,6.261248
0.020000,0.411774,14.192906,0.227148,1.800545,7.633930,1.733374,6.256931
0.020000,0.450839,14.191788,0.266230,1.954079,7.676719,2.139438,6.252191
0.020000,0.492985,14.190372,0.308399,2.108458,7.718946,2.111337,6.247009
0.020000,0.538229,14.188607,0.353678,2.263941,7.774119,2.758669,6.241368
0.020000,0.586589,14.186436,0.402087,2.420450,7.825488,2.568455,6.235247
0.020000,0.638086,14.183795,0.453651,2.578209,7.887926,3.121906,6.228624
0.020000,0.692741,14.180614,0.508398,2.737354,7.957272,3.467285,6.221472
0.020000,0.750577,14.176817,0.566359,2.898042,8.034396,3.856179,6.213764
0.020000,0.811617,14.172319,0.627564,3.060273,8.111558,3.858127,6.205469
0.020000,0.875888,14.167027,0.692053,3.224412,8.206908,4.767510,6.196555
0.020000,0.943413,14.160838,0.759861,3.390443,8.301561,4.732621,6.186984
0.020000,1.014224,14.153639,0.831037,3.558763,8.416009,5.722409,6.176716
0.020000,1.088345,14.145306,0.905625,3.729402,8.531944,5.796741,6.165706
0.020000,1.165805,14.135702,0.983678,3.902646,8.662210,6.513300,6.153907
0.020000,1.246632,14.124677,1.065254,4.078795,8.807447,7.261863,6.141264
0.020000,1.330853,14.112063,1.150413,4.257994,8.959962,7.625722,6.127722
0.020000,1.418492,14.097679,1.239225,4.440596,9.130070,8.505423,6.113217
0.020000,1.509573,14.081321,1.331763,4.626903,9.315390,9.266020,6.097681
0.020000,1.604112,14.062768,1.428106,4.817140,9.511848,9.822885,6.081041
0.020000,1.702124,14.041774,1.528341,5.011736,9.729786,10.896910,6.063215
0.020000,1.803609,14.018069,1.632558,5.210869,9.956659,11.343653,6.044121
0.020000,1.908561,13.991355,1.740857,5.414923,10.202705,12.302257,6.023666
0.020000,2.016957,13.961307,1.853340,5.624158,10.461724,12.950983,6.001756
0.020000,2.128753,13.927567,1.970117,5.838829,10.733582,13.592883,5.978288
0.020000,2.243880,13.889748,2.091296,6.058982,11.007647,13.703272,5.953162
0.020000,2.362238,13.847427,2.216993,6.284837,11.292734,14.254311,5.926272
0.020000,2.483685,13.800152,2.347317,6.516182,11.567265,13.726562,5.897516
0.020000,2.608027,13.747442,2.482370,6.752688,11.825279,12.900729,5.866798
0.020000,2.735014,13.688789,2.622248,6.993874,12.059322,11.702137,5.834032
0.020000,2.864319,13.623672,2.767023,7.238758,12.244196,9.243680,5.799149
0.020000,2.995534,13.551566,2.916746,7.486126,12.368375,6.208945,5.762103
0.020000,3.128157,13.471956,3.071428,7.734117,12.399556,1.559070,5.722882
0.020000,3.261586,13.384363,3.231039,7.980570,12.322651,-3.845263,5.681514
0.020000,3.395114,13.288364,3.395494,8.222742,12.108595,-10.702766,5.638080
0.020000,3.527935,13.183624,3.564645,8.457533,11.739543,-18.452630,5.592714
0.020000,3.658473,13.070544,3.737351,8.635291,8.887909,-142.581678,5.545870
0.020000,3.784196,12.950811,3.910966,8.680750,2.272966,-330.747174,5.498461
