dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.186204,13.115832,0.000653,0.065310,3.265512,163.275600,0.000833
0.020000,0.186204,13.115832,0.003266,0.195931,6.531024,163.275600,0.000500
0.020000,0.187514,13.115832,0.008490,0.326551,6.531024,0.000000,6.283018
0.020000,0.195352,13.115827,0.016328,0.457172,6.531024,0.000000,6.282014
0.020000,0.205801,13.115808,0.026777,0.587792,6.531024,0.000000,6.280671
0.020000,0.218863,13.115764,0.039839,0.718413,6.531024,0.000000,6.278984
0.020000,0.234537,13.115682,0.055514,0.849033,6.531024,-0.000000,6.276947
0.020000,0.252824,13.115546,0.073801,0.979654,6.531024,0.000000,6.274555
0.020000,0.273722,13.115337,0.094700,1.110274,6.531024,0.000000,6.271798
0.020000,0.297232,13.115033,0.118212,1.240895,6.531024,-0.000000,6.268669
0.020000,0.323352,13.114608,0.144336,1.371515,6.531024,0.000000,6.265156
0.020000,0.352083,13.114034,0.173072,1.502136,6.531024,0.000000,6.261248
0.020000,0.383423,13.113278,0.204421,1.632756,6.531024,0.000000,6.256931
0.020000,0.417370,13.112307,0.238382,1.763376,6.531024,0.000000,6.252191
0.020000,0.453923,13.111079,0.274956,1.893997,6.531024,-0.000000,6.247009
0.020000,0.493080,13.109551,0.314142,2.024617,6.531024,0.000000,6.241368
0.020000,0.534836,13.107677,0.355941,2.155238,6.531024,0.000000,6.235247
0.020000,0.579188,13.105402,0.400352,2.285858,6.531024,0.000000,6.228624
0.020000,0.626132,13.102670,0.447375,2.416479,6.531024,0.000000,6.221472
0.020000,0.675662,13.099419,0.497011,2.547099,6.531024,0.000000,6.213764
0.020000,0.727768,13.095579,0.549259,2.677720,6.531024,0.000000,6.205469
0.020000,0.782444,13.091077,0.604120,2.808340,6.531024,0.000000,6.196555
0.020000,0.839676,13.085832,0.661593,2.938961,6.531024,0.000000,6.186984
0.020000,0.899454,13.079755,0.721678,3.069581,6.531024,0.000000,6.176716
0.020000,0.961759,13.072750,0.784376,3.200202,6.531024,0.000000,6.165706
0.020000,1.026572,13.064715,0.849686,3.330822,6.531024,-0.000000,6.153907
0.020000,1.093871,13.055535,0.917609,3.461443,6.531024,0.000000,6.141264
0.020000,1.163628,13.045088,0.988144,3.592063,6.531024,-0.000000,6.127722
0.020000,1.235809,13.033241,1.061291,3.722684,6.531024,0.000000,6.113217
0.020000,1.310375,13.019850,1.137051,3.853304,6.531024,-0.000000,6.097681
0.020000,1.387280,13.004759,1.215424,3.983925,6.531024,0.000000,6.081041
0.020000,1.466467,12.987797,1.296408,4.114545,6.531024,0.000000,6.063215
0.020000,1.547872,12.968784,1.380005,4.245166,6.531024,0.000000,6.044121
0.020000,1.631416,12.947520,1.466215,4.375786,6.531024,-0.000000,6.023666
0.020000,1.717009,12.923795,1.555037,4.506407,6.531024,0.000000,6.001756
0.020000,1.804543,12.897379,1.646471,4.637027,6.531024,-0.000000,5.978288
0.020000,1.893890,12.868031,1.740518,4.767648,6.531024,0.000000,5.953162
0.020000,1.984903,12.835489,1.837177,4.898268,6.531024,0.000000,5.926272
0.020000,2.077411,12.799482,1.936449,5.028888,6.531024,0.000000,5.897516
0.020000,2.171212,12.759721,2.038333,5.159509,6.531024,-0.000000,5.866798
0.020000,2.266075,12.715908,2.142829,5.290129,6.531024,0.000000,5.834032
0.020000,2.361734,12.667739,2.249938,5.420750,6.531024,0.000000,5.799149
0.020000,2.457889,12.614903,2.359659,5.551370,6.531024,0.000000,5.762103
0.020000,2.554198,12.557095,2.471993,5.681991,6.531024,-0.000000,5.722882
0.020000,2.650284,12.494021,2.586939,5.812611,6.531024,0.000000,5.681514
0.020000,2.745728,12.425405,2.704497,5.943232,6.531024,-0.000000,5.638080
0.020000,2.840083,12.351002,2.824668,6.073852,6.531024,0.000000,5.592714
0.020000,2.932386,12.271046,2.946798,6.139163,3.265512,-163.275600,5.545870
0.020000,3.021035,12.186622,3.069227,6.103723,-1.771957,-251.873475,5.498461
0.020000,3.104657,12.099090,3.190294,6.002974,-5.037469,-163.275600,5.451445
0.020000,3.182602,12.009511,3.309047,5.872354,-6.531024,-74.677726,5.405502
0.020000,3.254793,11.918544,3.425188,5.741733,-6.531024,0.000000,5.361015
