dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.187104,12.035833,0.000653,0.065310,3.265512,163.275600,0.000833
0.020000,0.186744,12.035833,0.001013,0.018002,-2.365395,-281.545364,0.000500
0.020000,0.187333,12.035832,0.001602,0.029460,0.572882,146.913864,6.283018
0.020000,0.194087,12.035828,0.008356,0.337666,15.410323,741.872043,6.282014
0.020000,0.203086,12.035811,0.017355,0.449943,5.613844,-489.823957,6.280671
0.020000,0.214326,12.035774,0.028595,0.562002,5.602918,-0.546301,6.278984
0.020000,0.227800,12.035703,0.042069,0.673743,5.587074,-0.792191,6.276947
0.020000,0.243503,12.035587,0.057773,0.785154,5.570522,-0.827615,6.274555
0.020000,0.261424,12.035407,0.075695,0.896120,5.548326,-1.109766,6.271798
0.020000,0.281555,12.035147,0.095827,1.006612,5.524571,-1.187762,6.268669
0.020000,0.303882,12.034783,0.118157,1.116511,5.494972,-1.479931,6.265156
0.020000,0.328393,12.034293,0.142673,1.225792,5.464038,-1.546716,6.261248
0.020000,0.355072,12.033651,0.169360,1.334322,5.426527,-1.875529,6.256931
0.020000,0.383901,12.032825,0.198201,1.442070,5.387409,-1.955934,6.252191
0.020000,0.414861,12.031785,0.229178,1.548865,5.339716,-2.384615,6.247009
0.020000,0.447931,12.030496,0.262273,1.654721,5.292786,-2.346517,6.241368
0.020000,0.483083,12.028917,0.297461,1.759393,5.233645,-2.957050,6.235247
0.020000,0.520291,12.027009,0.334717,1.862842,5.172448,-3.059880,6.228624
0.020000,0.559524,12.024726,0.374016,1.964948,5.105274,-3.358681,6.221472
0.020000,0.600747,12.022020,0.415328,2.065584,5.031811,-3.673169,6.213764
0.020000,0.643919,12.018839,0.458618,2.164496,4.945574,-4.311828,6.205469
0.020000,0.689000,12.015127,0.503851,2.261663,4.858365,-4.360436,6.196555
0.020000,0.735939,12.010825,0.550987,2.356776,4.755634,-5.136562,6.186984
0.020000,0.784683,12.005870,0.599982,2.449785,4.650463,-5.258567,6.176716
0.020000,0.835173,12.000195,0.650790,2.540360,4.528749,-6.085663,6.165706
0.020000,0.887340,11.993727,0.703356,2.628320,4.398019,-6.536521,6.153907
0.020000,0.941111,11.986393,0.757625,2.713463,4.257143,-7.043812,6.141264
0.020000,0.996404,11.978113,0.813534,2.795454,4.099540,-7.880118,6.127722
0.020000,1.053126,11.968804,0.871016,2.874068,3.930718,-8.441102,6.113217
0.020000,1.111178,11.958379,0.929996,2.949023,3.747751,-9.148359,6.097681
0.020000,1.170447,11.946750,0.990396,3.019965,3.547066,-10.034268,6.081041
0.020000,1.230811,11.933821,1.052129,3.086656,3.334582,-10.624174,6.063215
0.020000,1.292135,11.919499,1.115103,3.148705,3.102430,-11.607644,6.044121
0.020000,1.354272,11.903686,1.179220,3.205861,2.857810,-12.230961,6.023666
0.020000,1.417061,11.886283,1.244377,3.257839,2.598899,-12.945542,6.001756
0.020000,1.480332,11.867191,1.310465,3.304423,2.329214,-13.484288,5.978288
0.020000,1.543899,11.846313,1.377373,3.345392,2.048463,-14.037518,5.953162
0.020000,1.607569,11.823551,1.444989,3.380791,1.769950,-13.925679,5.926272
0.020000,1.671137,11.798811,1.513202,3.410659,1.493390,-13.827969,5.897516
0.020000,1.734396,11.772000,1.581908,3.435290,1.231523,-13.093370,5.866798
0.020000,1.797136,11.743028,1.651014,3.455301,1.000543,-11.548978,5.834032
0.020000,1.859150,11.711805,1.720445,3.471554,0.812651,-9.394614,5.799149
0.020000,1.920244,11.678239,1.790153,3.485391,0.691860,-6.039545,5.762103
0.020000,1.980240,11.642234,1.860123,3.498516,0.656259,-1.780057,5.722882
0.020000,2.038981,11.603679,1.930387,3.513205,0.734429,3.908498,5.681514
0.020000,2.096343,11.562446,2.001030,3.532159,0.947709,10.663986,5.638080
0.020000,2.152230,11.518381,2.072201,3.558512,1.317646,18.496867,5.592714
0.020000,2.206300,11.471547,2.143733,3.576607,0.904745,-20.645071,5.545870
0.020000,2.257874,11.422432,2.214952,3.560980,-0.781353,-84.304893,5.498461
0.020000,2.306424,11.371612,2.285236,3.514173,-2.340305,-77.947598,5.451445
0.020000,2.351800,11.319461,2.354364,3.456435,-2.886915,-27.330490,5.405502
0.020000,2.394125,11.266124,2.422454,3.404472,-2.598165,14.437515,5.361015
0.020000,2.433607,11.211644,2.489736,3.364115,-2.017836,29.016419,5.318200
0.020000,2.470420,11.156085,2.556385,3.332422,-1.584664,21.658593,5.277215
0.020000,2.504713,11.099541,2.622516,3.306542,-1.293993,14.533557,5.238171
0.020000,2.536610,11.042128,2.688194,3.283914,-1.131375,8.130890,5.201125
0.020000,2.566221,10.983989,2.753439,3.262261,-1.082648,2.436367,5.166097
0.020000,2.593647,10.925284,2.818235,3.239793,-1.123419,-2.038559,5.133071
0.020000,2.618983,10.866185,2.882535,3.215025,-1.238426,-5.750342,5.102006
0.020000,2.642323,10.806874,2.946274,3.186918,-1.405333,-8.345340,5.072838
0.020000,2.663759,10.747533,3.009367,3.154673,-1.612237,-10.345219,5.045492
0.020000,2.683385,10.688346,3.071724,3.117819,-1.842715,-11.523886,5.019883
0.020000,2.701296,10.629488,3.133247,3.076155,-2.083183,-12.023383,4.995920
0.020000,2.717588,10.571130,3.193836,3.029485,-2.333513,-12.516530,4.973512
0.020000,2.732355,10.513431,3.253395,2.977913,-2.578577,-12.253169,4.952567
0.020000,2.745694,10.456544,3.311825,2.921529,-2.819244,-12.033354,4.932997
0.020000,2.757699,10.400606,3.369037,2.860564,-3.048248,-11.450222,4.914716
0.020000,2.768461,10.345749,3.424939,2.795141,-3.271109,-11.143035,4.897644
0.020000,2.778072,10.292089,3.479453,2.725673,-3.473415,-10.115301,4.881703
0.020000,2.786618,10.239737,3.532498,2.652257,-3.670793,-9.868901,4.866822
0.020000,2.794185,10.188789,3.584004,2.575322,-3.846744,-8.797557,4.852935
0.020000,2.800853,10.139337,3.633904,2.494996,-4.016305,-8.478031,4.839979
0.020000,2.806700,10.091460,3.682137,2.411632,-4.168201,-7.594810,4.827898
0.020000,2.811798,10.045232,3.728645,2.325413,-4.310983,-7.139097,4.816639
0.020000,2.816219,10.000719,3.773377,2.236593,-4.440966,-6.499180,4.806155
0.020000,2.820027,9.957981,3.816285,2.145388,-4.560264,-5.964884,4.796400
0.020000,2.823284,9.917070,3.857325,2.052004,-4.669203,-5.446942,4.787335
0.020000,2.826049,9.878036,3.896457,1.956605,-4.769965,-5.038121,4.778922
0.020000,2.828376,9.840920,3.933645,1.859418,-4.859318,-4.467611,4.771128
0.020000,2.830316,9.805763,3.968856,1.760530,-4.944419,-4.255078,4.763922
0.020000,2.831916,9.772598,4.002060,1.660180,-5.017489,-3.653501,4.757276
0.020000,2.833219,9.741457,4.033228,1.558421,-5.087946,-3.522849,4.751165
