dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001044,1.079999,0.000655,0.065492,3.274615,163.730761,6.282219
0.020000,0.000902,1.080000,0.000796,0.007060,-2.921594,-309.810463,6.282350
0.020000,0.000620,1.080000,0.001079,0.014126,0.353299,163.744636,6.282611
0.020000,0.000196,1.080000,0.001503,0.021203,0.353854,0.027768,6.283004
0.020000,0.006484,1.080001,0.007791,0.314398,14.659741,715.294365,0.000343
0.020000,0.018871,1.080009,0.020178,0.619380,15.249104,29.468116,0.000999
0.020000,0.033739,1.080030,0.035046,0.743370,6.199468,-452.481786,0.001788
0.020000,0.051080,1.080069,0.052387,0.867064,6.184716,-0.737592,0.002711
0.020000,0.070894,1.080133,0.072202,0.990729,6.183261,-0.072780,0.003769
0.020000,0.093180,1.080231,0.094488,1.114307,6.178884,-0.218847,0.004964
0.020000,0.117940,1.080370,0.119247,1.237979,6.183605,0.236084,0.006296
0.020000,0.145167,1.080561,0.146475,1.361386,6.170361,-0.662230,0.007767
0.020000,0.174860,1.080816,0.176170,1.484745,6.167921,-0.121989,0.009380
0.020000,0.207017,1.081146,0.208328,1.607914,6.158459,-0.473087,0.011135
0.020000,0.241638,1.081564,0.242952,1.731196,6.164097,0.281882,0.013036
0.020000,0.278718,1.082086,0.280035,1.854168,6.148615,-0.774086,0.015084
0.020000,0.318253,1.082725,0.319575,1.976994,6.141300,-0.365739,0.017282
0.020000,0.360243,1.083500,0.361573,2.099860,6.143309,0.100451,0.019633
0.020000,0.404680,1.084429,0.406020,2.222362,6.125083,-0.911291,0.022140
0.020000,0.451562,1.085529,0.452914,2.344720,6.117915,-0.358400,0.024806
0.020000,0.500884,1.086823,0.502253,2.466927,6.110340,-0.378790,0.027634
0.020000,0.552642,1.088331,0.554033,2.589027,6.105009,-0.266541,0.030629
0.020000,0.606830,1.090077,0.608249,2.710790,6.088150,-0.842936,0.033793
0.020000,0.663441,1.092085,0.664896,2.832339,6.077438,-0.535601,0.037132
0.020000,0.722470,1.094382,0.723969,2.953675,6.066823,-0.530774,0.040649
0.020000,0.783912,1.096994,0.785467,3.074874,6.059947,-0.343770,0.044349
0.020000,0.847754,1.099952,0.849377,3.195522,6.032391,-1.377816,0.048238
0.020000,0.913994,1.103285,0.915701,3.316199,6.033850,0.072943,0.052320
0.020000,0.982620,1.107025,0.984429,3.436387,6.009374,-1.223810,0.056601
0.020000,1.053622,1.111208,1.055554,3.556260,5.993689,-0.784230,0.061088
0.020000,1.126990,1.115868,1.129070,3.675785,5.976223,-0.873308,0.065787
0.020000,1.202713,1.121043,1.204970,3.794996,5.960541,-0.784086,0.070703
0.020000,1.280780,1.126774,1.283247,3.913869,5.943669,-0.843593,0.075846
0.020000,1.361176,1.133100,1.363891,4.032205,5.916779,-1.344528,0.081221
0.020000,1.443886,1.140066,1.446894,4.150140,5.896756,-1.001131,0.086837
0.020000,1.528896,1.147717,1.532248,4.267700,5.877986,-0.938502,0.092703
0.020000,1.616190,1.156102,1.619944,4.384788,5.854425,-1.178073,0.098827
0.020000,1.705748,1.165270,1.709970,4.501308,5.825993,-1.421563,0.105219
0.020000,1.797548,1.175273,1.802313,4.617167,5.792960,-1.651686,0.111888
0.020000,1.891575,1.186168,1.896969,4.732782,5.780770,-0.609460,0.118845
0.020000,1.987800,1.198011,1.993920,4.847542,5.737959,-2.140587,0.126102
0.020000,2.086199,1.210863,2.093155,4.961738,5.709802,-1.407853,0.133669
0.020000,2.186745,1.224786,2.194660,5.075265,5.676385,-1.670834,0.141558
0.020000,2.289408,1.239846,2.298422,5.188109,5.642187,-1.709903,0.149784
0.020000,2.394159,1.256113,2.404428,5.300306,5.609855,-1.616602,0.158359
0.020000,2.500960,1.273657,2.512661,5.411645,5.566947,-2.145402,0.167297
0.020000,2.609775,1.292553,2.623105,5.522188,5.527136,-1.990523,0.176613
0.020000,2.720564,1.312879,2.735743,5.631906,5.485882,-2.062691,0.186323
0.020000,2.833282,1.334716,2.850556,5.740674,5.438403,-2.373982,0.196443
0.020000,2.947886,1.358150,2.967532,5.848759,5.404268,-1.706756,0.206990
0.020000,3.064320,1.383268,3.086644,5.955643,5.344200,-3.003389,0.217982
0.020000,3.182533,1.410160,3.207877,6.061634,5.299569,-2.231547,0.229436
0.020000,3.302464,1.438923,3.331209,6.166601,5.248354,-2.560729,0.241373
0.020000,3.424049,1.469653,3.456618,6.270419,5.190885,-2.873468,0.253811
0.020000,3.547223,1.502455,3.584085,6.373369,5.147481,-2.170208,0.266770
0.020000,3.671910,1.537433,3.713585,6.475002,5.081650,-3.291518,0.280272
0.020000,3.798032,1.574695,3.845096,6.575552,5.027503,-2.707391,0.294338
0.020000,3.925503,1.614354,3.978594,6.674907,4.967777,-2.986260,0.308987
0.020000,4.054237,1.656528,4.114060,6.773287,4.918968,-2.440497,0.324243
0.020000,4.184133,1.701333,4.251466,6.870327,4.852023,-3.347217,0.340126
0.020000,4.315091,1.748892,4.390793,6.966308,4.799053,-2.648491,0.356658
0.020000,4.447000,1.799331,4.532016,7.061163,4.742748,-2.815271,0.373857
0.020000,4.579745,1.852776,4.675116,7.155017,4.692703,-2.502248,0.391745
0.020000,4.713202,1.909359,4.820073,7.247831,4.640665,-2.601919,0.410339
0.020000,4.847243,1.969211,4.966869,7.339821,4.599506,-2.057907,0.429655
0.020000,4.981730,2.032466,5.115490,7.431015,4.559700,-1.990301,0.449709
0.020000,5.116520,2.099258,5.265920,7.521542,4.526376,-1.666233,0.470510
0.020000,5.251462,2.169725,5.418154,7.611676,4.506688,-0.984395,0.492068
0.020000,5.386402,2.244002,5.572186,7.701596,4.495984,-0.535197,0.514386
0.020000,5.521177,2.322226,5.728016,7.791521,4.496283,0.014974,0.537465
0.020000,5.655617,2.404530,5.885650,7.881669,4.507403,0.555965,0.561299
0.020000,5.789552,2.491051,6.045100,7.972526,4.542844,1.772048,0.585877
0.020000,5.922804,2.581919,6.206386,8.064289,4.588138,2.264724,0.611180
0.020000,6.055193,2.677264,6.369535,8.157441,4.657608,3.473516,0.637184
0.020000,6.186534,2.777212,6.534580,8.252268,4.741349,4.187031,0.663857
0.020000,6.316641,2.881885,6.701566,8.349309,4.852050,5.535048,0.691158
0.020000,6.445328,2.991399,6.870544,8.448899,4.979479,6.371448,0.719041
0.020000,6.572406,3.105865,7.041574,8.551492,5.129652,7.508654,0.747449
0.020000,6.697291,3.224998,7.214169,8.629748,3.912791,-60.843050,0.776226
0.020000,6.818883,3.347875,7.387037,8.643409,0.683078,-161.485649,0.805077
0.020000,6.936200,3.473453,7.558889,8.592590,-2.540979,-161.202866,0.833700
0.020000,7.048713,3.600966,7.728944,8.502751,-4.491948,-97.548442,0.861888
0.020000,7.156323,3.730011,7.896969,8.401262,-5.074428,-29.123981,0.889529
0.020000,7.259142,3.860401,8.063022,8.302615,-4.932326,7.105064,0.916572
0.020000,7.357288,3.991949,8.227148,8.206344,-4.813567,5.937947,0.942972
0.020000,7.450886,4.124471,8.389391,8.112120,-4.711187,5.119025,0.968692
0.020000,7.540062,4.257784,8.549780,8.019460,-4.633024,3.908172,0.993703
0.020000,7.624947,4.391709,8.708340,7.927994,-4.573310,2.985658,1.017981
0.020000,7.705672,4.526071,8.865088,7.837393,-4.530054,2.162819,1.041513
0.020000,7.782372,4.660700,9.020032,7.747212,-4.509014,1.052015,1.064289
0.020000,7.855183,4.795430,9.173178,7.657276,-4.496820,0.609664,1.086305
0.020000,7.924240,4.930101,9.324523,7.567255,-4.501060,-0.211960,1.107562
0.020000,7.989679,5.064560,9.474060,7.476878,-4.518850,-0.889496,1.128068
0.020000,8.051636,5.198660,9.621781,7.386055,-4.541164,-1.115700,1.147830
0.020000,8.110246,5.332260,9.767672,7.294530,-4.576209,-1.752298,1.166862
0.020000,8.165640,5.465227,9.911716,7.202207,-4.616143,-1.996686,1.185178
0.020000,8.217950,5.597433,10.053895,7.108938,-4.663461,-2.365875,1.202796
0.020000,8.267306,5.728759,10.194189,7.014715,-4.711155,-2.384723,1.219733
0.020000,8.313833,5.859090,10.332576,6.919344,-4.768543,-2.869376,1.236011
0.020000,8.357655,5.988320,10.469034,6.822873,-4.823548,-2.750264,1.251649
0.020000,8.398893,6.116350,10.603541,6.725380,-4.874662,-2.555683,1.266668
0.020000,8.437665,6.243083,10.736073,6.626582,-4.939918,-3.262839,1.281090
0.020000,8.474084,6.368435,10.866608,6.526747,-4.991726,-2.590371,1.294936
0.020000,8.508263,6.492322,10.995123,6.425767,-5.049018,-2.864607,1.308227
0.020000,8.540307,6.614667,11.121595,6.323577,-5.109499,-3.024055,1.320984
0.020000,8.570322,6.735400,11.246003,6.220404,-5.158643,-2.457201,1.333227
0.020000,8.598407,6.854452,11.368323,6.116010,-5.219709,-3.053281,1.344976
0.020000,8.624660,6.971764,11.488537,6.010704,-5.265316,-2.280346,1.356251
0.020000,8.649174,7.087277,11.606622,5.904276,-5.321365,-2.802476,1.367070
0.020000,8.672039,7.200940,11.722562,5.796954,-5.366118,-2.237646,1.377452
0.020000,8.693341,7.312701,11.836335,5.688661,-5.414659,-2.427043,1.387413
0.020000,8.713164,7.422516,11.947925,5.579502,-5.457924,-2.163274,1.396970
0.020000,8.731587,7.530342,12.057314,5.469446,-5.502805,-2.244051,1.406140
0.020000,8.748687,7.636142,12.164486,5.358617,-5.541435,-1.931466,1.414937
0.020000,8.764537,7.739876,12.269424,5.246912,-5.585283,-2.192428,1.423376
0.020000,8.779209,7.841515,12.372116,5.134601,-5.615542,-1.512949,1.431472
0.020000,8.792768,7.941022,12.472544,5.021363,-5.661869,-2.316352,1.439236
0.020000,8.805280,8.038374,12.570696,4.907624,-5.686983,-1.255700,1.446682
0.020000,8.816807,8.133541,12.666559,4.793139,-5.724245,-1.863075,1.453822
0.020000,8.827407,8.226500,12.760120,4.678055,-5.754218,-1.498659,1.460667
0.020000,8.837138,8.317230,12.851370,4.562508,-5.777335,-1.155852,1.467228
0.020000,8.846053,8.405707,12.940296,4.446287,-5.811024,-1.684430,1.473515
0.020000,8.854203,8.491914,13.026886,4.329526,-5.838062,-1.351931,1.479538
0.020000,8.861638,8.575832,13.111134,4.212366,-5.858012,-0.997483,1.485306
0.020000,8.868404,8.657444,13.193026,4.094610,-5.887775,-1.488173,1.490827
0.020000,8.874547,8.736737,13.272556,3.976487,-5.906157,-0.919069,1.496111
0.020000,8.880110,8.813696,13.349716,3.858006,-5.924072,-0.895754,1.501164
0.020000,8.885132,8.888308,13.424497,3.739068,-5.946871,-1.139955,1.505995
0.020000,8.889653,8.960560,13.496890,3.619666,-5.970114,-1.162133,1.510609
0.020000,8.893709,9.030444,13.566891,3.500038,-5.981387,-0.563692,1.515014
0.020000,8.897336,9.097946,13.634491,3.380015,-6.001164,-0.988807,1.519216
0.020000,8.900567,9.163058,13.699684,3.259604,-6.020569,-0.970285,1.523220
0.020000,8.903433,9.225776,13.762466,3.139139,-6.023259,-0.134470,1.527033
0.020000,8.905964,9.286084,13.822827,3.018050,-6.054410,-1.557548,1.530660
0.020000,8.908189,9.343980,13.880767,2.896961,-6.054448,-0.001902,1.534104
0.020000,8.910135,9.399457,13.936277,2.775545,-6.070802,-0.817713,1.537372
0.020000,8.911826,9.452508,13.989355,2.653874,-6.083544,-0.637088,1.540467
0.020000,8.913288,9.503127,14.039995,2.532020,-6.092729,-0.459277,1.543393
0.020000,8.914542,9.551311,14.088195,2.410002,-6.100912,-0.409125,1.546154
0.020000,8.915610,9.597049,14.133947,2.287563,-6.121951,-1.051982,1.548754
0.020000,8.916511,9.640345,14.177251,2.165231,-6.116573,0.268911,1.551196
0.020000,8.917265,9.681191,14.218104,2.042651,-6.129021,-0.622385,1.553483
0.020000,8.917889,9.719581,14.256500,1.919792,-6.142941,-0.695992,1.555618
0.020000,8.918398,9.755516,14.292438,1.796896,-6.144789,-0.092433,1.557604
0.020000,8.918809,9.788988,14.325913,1.673761,-6.156773,-0.599184,1.559443
0.020000,8.919135,9.819999,14.356926,1.550625,-6.156762,0.000576,1.561137
0.020000,8.919389,9.848547,14.385475,1.427468,-6.157884,-0.056118,1.562689
0.020000,8.919582,9.874625,14.411553,1.303897,-6.178555,-1.033539,1.564099
0.020000,8.919725,9.898234,14.435163,1.180497,-6.169963,0.429596,1.565371
0.020000,8.919827,9.919373,14.456302,1.056959,-6.176907,-0.347212,1.566506
0.020000,8.919898,9.938039,14.474968,0.933301,-6.182900,-0.299647,1.567504
0.020000,8.919944,9.954231,14.491160,0.809582,-6.185955,-0.152759,1.568368
0.020000,8.919973,9.967948,14.504877,0.685860,-6.186091,-0.006806,1.569098
0.020000,8.919989,9.979190,14.516119,0.562099,-6.188079,-0.099396,1.569694
0.020000,8.919996,9.987952,14.524882,0.438133,-6.198279,-0.510014,1.570159
0.020000,8.919999,9.994239,14.531168,0.314337,-6.189788,0.424559,1.570492
0.020000,8.920000,9.998049,14.534978,0.190492,-6.192275,-0.124319,1.570693
0.020000,8.920000,9.999667,14.536597,0.080911,-5.479065,35.660490,1.570779
0.020000,8.920000,10.000000,14.536929,0.016641,-3.213491,113.278669,1.570796
0.020000,8.920000,10.000000,14.536929,0.000000,-0.832042,119.072464,1.570796
