dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000655,0.065492,3.274615,163.730761,6.282219
0.020000,0.000000,0.000000,0.003275,0.196477,6.549230,163.730761,6.282350
0.020000,0.000000,0.000000,0.008514,0.327462,6.549230,-0.000000,6.282611
0.020000,0.000000,0.000000,0.016373,0.458446,6.549230,0.000000,6.283004
0.020000,0.006854,0.000001,0.026852,0.589431,6.549230,0.000000,0.000343
0.020000,0.019950,0.000010,0.039950,0.720415,6.549230,-0.000000,0.000999
0.020000,0.035670,0.000032,0.055668,0.851400,6.549230,0.000000,0.001788
0.020000,0.054008,0.000073,0.074006,0.982385,6.549230,0.000000,0.002711
0.020000,0.074965,0.000141,0.094964,1.113369,6.549230,-0.000000,0.003769
0.020000,0.098541,0.000244,0.118541,1.244354,6.549230,-0.000000,0.004964
0.020000,0.124739,0.000391,0.144738,1.375338,6.549230,0.000000,0.006296
0.020000,0.153555,0.000594,0.173555,1.506323,6.549230,0.000000,0.007767
0.020000,0.184990,0.000864,0.204991,1.637308,6.549230,0.000000,0.009380
0.020000,0.219043,0.001213,0.239047,1.768292,6.549230,-0.000000,0.011135
0.020000,0.255717,0.001656,0.275723,1.899277,6.549230,0.000000,0.013036
0.020000,0.295008,0.002208,0.315018,2.030261,6.549230,-0.000000,0.015084
0.020000,0.336917,0.002887,0.356933,2.161246,6.549230,0.000000,0.017282
0.020000,0.381446,0.003709,0.401468,2.292231,6.549230,0.000000,0.019633
0.020000,0.428590,0.004693,0.448622,2.423215,6.549230,-0.000000,0.022140
0.020000,0.478350,0.005862,0.498396,2.554200,6.549230,0.000000,0.024806
0.020000,0.530725,0.007235,0.550790,2.685184,6.549230,0.000000,0.027634
0.020000,0.585716,0.008837,0.605804,2.816169,6.549230,0.000000,0.030629
0.020000,0.643320,0.010693,0.663437,2.947154,6.549230,-0.000000,0.033793
0.020000,0.703534,0.012829,0.723690,3.078138,6.549230,0.000000,0.037132
0.020000,0.766358,0.015274,0.786563,3.209123,6.549230,0.000000,0.040649
0.020000,0.831793,0.018056,0.852055,3.340108,6.549230,-0.000000,0.044349
