dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.001044,-1.079999,0.000655,0.065492,3.274615,163.730761,6.282219
0.020000,-0.000902,-1.080000,0.000796,0.007060,-2.921594,-309.810463,6.282350
0.020000,-0.000620,-1.080000,0.001079,0.014126,0.353299,163.744636,6.282611
0.020000,-0.000196,-1.080000,0.001503,0.021203,0.353854,0.027768,6.283004
0.020000,0.007224,-1.079999,0.008923,0.371011,17.490391,856.826841,0.000343
0.020000,0.021029,-1.079990,0.022728,0.690242,15.961554,-76.441824,0.000999
0.020000,0.037601,-1.079966,0.039300,0.828612,6.918474,-452.154013,0.001788
0.020000,0.056937,-1.079923,0.058635,0.966760,6.907388,-0.554330,0.002711
0.020000,0.079037,-1.079851,0.080735,1.105001,6.912045,0.232895,0.003769
0.020000,0.103902,-1.079743,0.105601,1.243288,6.914390,0.117226,0.004964
0.020000,0.131539,-1.079587,0.133238,1.381845,6.927855,0.673239,0.006296
0.020000,0.161944,-1.079373,0.163644,1.520291,6.922255,-0.279964,0.007767
0.020000,0.195120,-1.079089,0.196821,1.658885,6.929723,0.373401,0.009380
0.020000,0.231068,-1.078720,0.232771,1.797493,6.930383,0.032992,0.011135
0.020000,0.269795,-1.078252,0.271501,1.936473,6.948996,0.930620,0.013036
0.020000,0.311298,-1.077669,0.313008,2.075375,6.945097,-0.194938,0.015084
0.020000,0.355580,-1.076952,0.357296,2.214404,6.951461,0.318212,0.017282
0.020000,0.402648,-1.076083,0.404372,2.353793,6.969458,0.899830,0.019633
0.020000,0.452500,-1.075042,0.454234,2.493113,6.966002,-0.172801,0.022140
0.020000,0.505138,-1.073806,0.506887,2.632637,6.976198,0.509827,0.024806
0.020000,0.560566,-1.072353,0.562335,2.772382,6.987261,0.553148,0.027634
0.020000,0.618790,-1.070656,0.620583,2.912427,7.002232,0.748544,0.030629
0.020000,0.679809,-1.068690,0.681634,3.052540,7.005669,0.171869,0.033793
0.020000,0.743627,-1.066426,0.745492,3.192890,7.017506,0.591805,0.037132
0.020000,0.810247,-1.063834,0.812162,3.333511,7.031016,0.675498,0.040649
0.020000,0.879674,-1.060882,0.881653,3.474518,7.050396,0.969013,0.044349
0.020000,0.951907,-1.057536,0.953962,3.615481,7.048107,-0.114419,0.048238
0.020000,1.026953,-1.053760,1.029104,3.757089,7.080421,1.615696,0.052320
0.020000,1.104814,-1.049516,1.107080,3.898794,7.085268,0.242315,0.056601
0.020000,1.185491,-1.044763,1.187896,4.040835,7.102020,0.837633,0.061088
0.020000,1.268986,-1.039459,1.271561,4.183211,7.118813,0.839616,0.065787
0.020000,1.355305,-1.033560,1.358081,4.326007,7.139806,1.049647,0.070703
0.020000,1.444450,-1.027017,1.447466,4.469242,7.161732,1.096347,0.075846
0.020000,1.536421,-1.019780,1.539720,4.612734,7.174596,0.643157,0.081221
0.020000,1.631219,-1.011796,1.634854,4.756689,7.197787,1.159560,0.086837
0.020000,1.728848,-1.003008,1.732878,4.901191,7.225057,1.363528,0.092703
0.020000,1.829309,-0.993359,1.833802,5.046183,7.249600,1.227146,0.098827
0.020000,1.932602,-0.982785,1.937634,5.191611,7.271412,1.090605,0.105219
0.020000,2.038722,-0.971221,2.044382,5.337429,7.290887,0.973735,0.111888
0.020000,2.147677,-0.958596,2.154066,5.484181,7.337632,2.337226,0.118845
0.020000,2.259458,-0.944838,2.266691,5.631226,7.352239,0.730348,0.126102
0.020000,2.374064,-0.929869,2.382270,5.778970,7.387217,1.748903,0.133669
0.020000,2.491490,-0.913608,2.500817,5.927363,7.419652,1.621792,0.141558
0.020000,2.611733,-0.895969,2.622346,6.076461,7.454868,1.760777,0.149784
0.020000,2.734785,-0.876860,2.746874,6.226383,7.496112,2.062199,0.158359
0.020000,2.860638,-0.856186,2.874413,6.376961,7.528875,1.638144,0.167297
0.020000,2.989280,-0.833847,3.004980,6.528346,7.569275,2.019990,0.176613
0.020000,3.120698,-0.809736,3.138592,6.680588,7.612078,2.140164,0.186323
0.020000,3.254875,-0.783740,3.275264,6.833620,7.651633,1.977736,0.196443
0.020000,3.391799,-0.755742,3.415021,6.987846,7.711275,2.982118,0.206990
0.020000,3.531441,-0.725618,3.557876,7.142728,7.744117,1.642081,0.217982
0.020000,3.673779,-0.693237,3.703850,7.298716,7.799415,2.764918,0.229436
0.020000,3.818781,-0.658460,3.852965,7.455731,7.850741,2.566288,0.241373
0.020000,3.966413,-0.621146,4.005239,7.613694,7.898132,2.369578,0.253811
0.020000,4.116637,-0.581140,4.160699,7.773013,7.965958,3.391298,0.266770
0.020000,4.269404,-0.538284,4.319363,7.933201,8.009377,2.170953,0.280272
0.020000,4.424661,-0.492413,4.481255,8.094586,8.069277,2.994972,0.294338
0.020000,4.582346,-0.443352,4.646396,8.257063,8.123857,2.729018,0.308987
0.020000,4.742395,-0.390919,4.814814,8.420915,8.192575,3.435892,0.324243
0.020000,4.904723,-0.334926,4.986528,8.585679,8.238227,2.282597,0.340126
0.020000,5.069242,-0.275177,5.161561,8.751664,8.299251,3.051206,0.356658
0.020000,5.235851,-0.211468,5.339935,8.918714,8.352479,2.661384,0.373857
0.020000,5.404437,-0.143591,5.521673,9.086874,8.407989,2.775519,0.391745
0.020000,5.574870,-0.071330,5.706792,9.255935,8.453053,2.253216,0.410339
0.020000,5.747007,0.005535,5.895311,9.425963,8.501431,2.418887,0.429655
0.020000,5.920689,0.087226,6.087245,9.596724,8.538044,1.830633,0.449709
0.020000,6.095736,0.173970,6.282606,9.768046,8.566112,1.403416,0.470510
0.020000,6.271953,0.265992,6.481404,9.939874,8.591375,1.263147,0.492068
0.020000,6.449123,0.363517,6.683643,10.111954,8.604020,0.632241,0.514386
0.020000,6.627011,0.466766,6.889323,10.284007,8.602623,-0.069837,0.537465
0.020000,6.805356,0.575951,7.098436,10.455662,8.582782,-0.992072,0.561299
0.020000,6.983881,0.691279,7.310973,10.626830,8.558384,-1.219875,0.585877
0.020000,7.162286,0.812940,7.526912,10.796959,8.506464,-2.595988,0.611180
0.020000,7.340251,0.941112,7.746228,10.965814,8.442718,-3.187328,0.637184
0.020000,7.517438,1.075949,7.968885,11.132837,8.351184,-4.576709,0.663857
0.020000,7.693491,1.217587,8.194841,11.297780,8.247121,-5.203143,0.691158
0.020000,7.868041,1.366133,8.424043,11.460101,8.116071,-6.552502,0.719041
0.020000,8.040709,1.521665,8.656431,11.619437,7.966804,-7.463361,0.747449
0.020000,8.210569,1.683703,8.891184,11.737652,5.910722,-102.804094,0.776226
0.020000,8.375992,1.850874,9.126367,11.759141,1.074445,-241.813837,0.805077
0.020000,8.535515,2.021629,9.360044,11.683828,-3.765634,-242.003938,0.833700
0.020000,8.688310,2.194793,9.590981,11.546883,-6.847260,-154.081321,0.861888
0.020000,8.834157,2.369691,9.818710,11.386445,-8.021864,-58.730169,0.889529
0.020000,8.973146,2.545947,10.043174,11.223184,-8.163062,-7.059937,0.916572
0.020000,9.105393,2.723197,10.264323,11.057451,-8.286640,-6.178902,0.942972
0.020000,9.231041,2.901094,10.482119,10.889790,-8.383066,-4.821266,0.968692
0.020000,9.350254,3.079308,10.696529,10.720510,-8.464022,-4.047808,0.993703
0.020000,9.463214,3.257525,10.907530,10.550032,-8.523882,-2.993026,1.017981
0.020000,9.570117,3.435455,11.115105,10.378773,-8.562976,-1.954679,1.041513
0.020000,9.671171,3.612827,11.319244,10.206924,-8.592430,-1.472677,1.064289
0.020000,9.766592,3.789391,11.519943,10.034955,-8.598429,-0.299979,1.086305
0.020000,9.856602,3.964919,11.717204,9.863054,-8.595065,0.168190,1.107562
0.020000,9.941425,4.139202,11.911032,9.691404,-8.582524,0.627065,1.128068
0.020000,10.021287,4.312051,12.101439,9.520343,-8.553035,1.474445,1.147830
0.020000,10.096412,4.483295,12.288437,9.349923,-8.520978,1.602855,1.166862
0.020000,10.167023,4.652781,12.472044,9.180330,-8.479646,2.066622,1.185178
0.020000,10.233335,4.820371,12.652276,9.011623,-8.435373,2.213615,1.202796
0.020000,10.295563,4.985943,12.829156,8.843982,-8.382068,2.665261,1.219733
0.020000,10.353912,5.149387,13.002702,8.677302,-8.333965,2.405158,1.236011
0.020000,10.408582,5.310604,13.172937,8.511743,-8.277955,2.800498,1.251649
0.020000,10.459768,5.469513,13.339886,8.347460,-8.214149,3.190304,1.266668
0.020000,10.507653,5.626035,13.503569,8.184131,-8.166473,2.383803,1.281090
0.020000,10.552417,5.780105,13.664010,8.022091,-8.101982,3.224524,1.294936
0.020000,10.594231,5.931667,13.821234,7.861186,-8.045251,2.836547,1.308227
0.020000,10.633258,6.080666,13.975260,7.701302,-7.994185,2.553312,1.320984
0.020000,10.669654,6.227063,14.126114,7.542666,-7.931795,3.119489,1.333227
0.020000,10.703566,6.370816,14.273812,7.384928,-7.886913,2.244136,1.344976
0.020000,10.735139,6.511894,14.418380,7.228393,-7.826756,3.007817,1.356251
0.020000,10.764504,6.650267,14.559835,7.072734,-7.782930,2.191292,1.367070
0.020000,10.791792,6.785913,14.698198,6.918145,-7.729470,2.673002,1.377452
0.020000,10.817123,6.918809,14.833487,6.764452,-7.684628,2.242143,1.387413
0.020000,10.840613,7.048940,14.965721,6.611700,-7.637632,2.349774,1.396970
0.020000,10.862372,7.176290,15.094916,6.459766,-7.596700,2.046615,1.406140
0.020000,10.882505,7.300847,15.221090,6.308716,-7.552497,2.210145,1.414937
0.020000,10.901109,7.422601,15.344257,6.158346,-7.518496,1.700065,1.423376
0.020000,10.918279,7.541546,15.464435,6.008896,-7.472517,2.298940,1.431472
0.020000,10.934102,7.657671,15.581633,5.859911,-7.449224,1.164664,1.439236
0.020000,10.948665,7.770976,15.695870,5.711813,-7.404889,2.216723,1.446682
0.020000,10.962046,7.881453,15.807154,5.564246,-7.378372,1.325854,1.453822
0.020000,10.974322,7.989102,15.915501,5.417309,-7.346861,1.575561,1.460667
0.020000,10.985564,8.093922,16.020923,5.271093,-7.310805,1.802772,1.467228
0.020000,10.995840,8.195912,16.123428,5.125289,-7.290206,1.029943,1.473515
0.020000,11.005215,8.295069,16.223028,4.979989,-7.264991,1.260792,1.479538
0.020000,11.013749,8.391398,16.319734,4.835297,-7.234590,1.520011,1.485306
0.020000,11.021501,8.484896,16.413553,4.690931,-7.218287,0.815194,1.490827
0.020000,11.028526,8.575566,16.504495,4.547099,-7.191617,1.333480,1.496111
0.020000,11.034875,8.663412,16.592570,4.403759,-7.167016,1.230034,1.501164
0.020000,11.040599,8.748435,16.677785,4.260750,-7.150448,0.828394,1.505995
0.020000,11.045742,8.830634,16.760145,4.118016,-7.136696,0.687617,1.510609
0.020000,11.050350,8.910016,16.839661,3.975785,-7.111552,1.257182,1.515014
0.020000,11.054464,8.986582,16.916337,3.833820,-7.098210,0.667095,1.519216
0.020000,11.058123,9.060333,16.990179,3.692091,-7.086451,0.587963,1.523220
0.020000,11.061365,9.131278,17.061198,3.550937,-7.057702,1.437447,1.527033
0.020000,11.064224,9.199412,17.129391,3.409677,-7.062997,-0.264757,1.530660
0.020000,11.066735,9.264743,17.194771,3.268980,-7.034867,1.406506,1.534104
0.020000,11.068928,9.327273,17.257340,3.128443,-7.026864,0.400155,1.537372
0.020000,11.070833,9.387005,17.317102,2.988115,-7.016379,0.524263,1.540467
0.020000,11.072477,9.443942,17.374063,2.848047,-7.003425,0.647708,1.543393
0.020000,11.073886,9.498089,17.428228,2.708230,-6.990821,0.630205,1.546154
0.020000,11.075085,9.549442,17.479595,2.568349,-6.994062,-0.162057,1.548754
0.020000,11.076096,9.598011,17.528174,2.428969,-6.968988,1.253668,1.551196
0.020000,11.076941,9.643796,17.573967,2.289664,-6.965240,0.187415,1.553483
0.020000,11.077640,9.686798,17.616975,2.150377,-6.964376,0.043224,1.555618
0.020000,11.078210,9.727021,17.657202,2.011353,-6.951190,0.659264,1.557604
0.020000,11.078670,9.764465,17.694649,1.872343,-6.950519,0.033585,1.559443
0.020000,11.079034,9.799135,17.729321,1.733592,-6.937552,0.648350,1.561137
0.020000,11.079318,9.831035,17.761222,1.595053,-6.926957,0.529748,1.562689
0.020000,11.079533,9.860159,17.790347,1.456267,-6.939256,-0.614970,1.564099
0.020000,11.079693,9.886516,17.816704,1.317870,-6.919892,0.968188,1.565371
0.020000,11.079808,9.910106,17.840294,1.179492,-6.918890,0.050122,1.566506
0.020000,11.079886,9.930928,17.861117,1.041136,-6.917800,0.054480,1.567504
0.020000,11.079938,9.948985,17.879174,0.902848,-6.914390,0.170509,1.568368
0.020000,11.079970,9.964279,17.894467,0.764675,-6.908667,0.286176,1.569098
0.020000,11.079987,9.976810,17.906998,0.626556,-6.905934,0.136617,1.569694
0.020000,11.079996,9.986576,17.916764,0.488291,-6.913265,-0.366538,1.570159
0.020000,11.079999,9.993581,17.923770,0.350277,-6.900665,0.630018,1.570492
0.020000,11.080000,9.997826,17.928015,0.212254,-6.901193,-0.026408,1.570693
0.020000,11.080000,9.999629,17.929818,0.090150,-6.105196,39.799821,1.570779
0.020000,11.080000,10.000000,17.930189,0.018541,-3.580445,126.237565,1.570796
0.020000,11.080000,10.000000,17.930189,0.000000,-0.927035,132.670516,1.570796
