dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.007651,4.711474,0.000435,0.017417,0.348331,6.966625,0.000669
0.050000,0.007712,4.711474,0.000496,0.001213,-0.324065,-13.447923,0.000474
0.050000,0.007813,4.711474,0.000597,0.002019,0.016118,6.803652,0.000148
0.050000,0.010012,4.711474,0.002796,0.043980,0.839206,16.461776,6.282878
0.050000,0.014111,4.711471,0.006896,0.081990,0.760216,-1.579819,6.282295
0.050000,0.019121,4.711465,0.011905,0.100193,0.364058,-7.923152,6.281585
0.050000,0.025040,4.711453,0.017824,0.118386,0.363854,-0.004081,6.280750
0.050000,0.031869,4.711433,0.024653,0.136567,0.363631,-0.004454,6.279791
0.050000,0.039605,4.711403,0.032390,0.154735,0.363355,-0.005515,6.278712
0.050000,0.048250,4.711359,0.041034,0.172887,0.363036,-0.006391,6.277513
0.050000,0.057801,4.711298,0.050585,0.191021,0.362681,-0.007088,6.276199
0.050000,0.068257,4.711218,0.061042,0.209137,0.362320,-0.007230,6.274772
0.050000,0.079618,4.711113,0.072403,0.227232,0.361906,-0.008280,6.273236
0.050000,0.091883,4.710981,0.084669,0.245303,0.361403,-0.010056,6.271594
0.050000,0.105049,4.710817,0.097836,0.263352,0.360989,-0.008292,6.269850
0.050000,0.119116,4.710617,0.111905,0.281372,0.360395,-0.011869,6.268009
0.050000,0.134083,4.710375,0.126873,0.299366,0.359883,-0.010242,6.266075
0.050000,0.149947,4.710087,0.142740,0.317330,0.359283,-0.011996,6.264052
0.050000,0.166706,4.709749,0.159503,0.335263,0.358667,-0.012315,6.261946
0.050000,0.184360,4.709355,0.177161,0.353161,0.357955,-0.014258,6.259763
0.050000,0.202906,4.708899,0.195712,0.371028,0.357342,-0.012254,6.257507
0.050000,0.222342,4.708377,0.215155,0.388856,0.356552,-0.015805,6.255184
0.050000,0.242665,4.707784,0.235487,0.406647,0.355827,-0.014485,6.252801
0.050000,0.263875,4.707113,0.256707,0.424400,0.355047,-0.015609,6.250364
0.050000,0.285967,4.706360,0.278813,0.442109,0.354186,-0.017210,6.247879
0.050000,0.308941,4.705520,0.301802,0.459778,0.353389,-0.015941,6.245354
0.050000,0.332793,4.704586,0.325672,0.477402,0.352475,-0.018292,6.242796
0.050000,0.357520,4.703555,0.350421,0.494982,0.351591,-0.017669,6.240211
0.050000,0.383121,4.702420,0.376047,0.512514,0.350640,-0.019021,6.237607
0.050000,0.409592,4.701178,0.402546,0.529997,0.349678,-0.019249,6.234993
0.050000,0.436930,4.699824,0.429918,0.547433,0.348703,-0.019491,6.232376
0.050000,0.465132,4.698352,0.458159,0.564815,0.347637,-0.021323,6.229764
0.050000,0.494196,4.696760,0.487266,0.582147,0.346644,-0.019860,6.227166
0.050000,0.524118,4.695043,0.517237,0.599424,0.345546,-0.021955,6.224590
0.050000,0.554895,4.693198,0.548070,0.616646,0.344439,-0.022144,6.222046
0.050000,0.586524,4.691222,0.579760,0.633812,0.343321,-0.022364,6.219542
0.050000,0.619001,4.689112,0.612306,0.650922,0.342190,-0.022623,6.217087
0.050000,0.652324,4.686866,0.645705,0.667971,0.340992,-0.023954,6.214692
0.050000,0.686489,4.684481,0.679953,0.684962,0.339814,-0.023566,6.212366
0.050000,0.721493,4.681958,0.715047,0.701890,0.338570,-0.024874,6.210118
0.050000,0.757332,4.679296,0.750985,0.718756,0.337315,-0.025106,6.207959
0.050000,0.794003,4.676493,0.787763,0.735558,0.336045,-0.025404,6.205899
0.050000,0.831503,4.673552,0.825378,0.752296,0.334756,-0.025777,6.203949
0.050000,0.869827,4.670473,0.863826,0.768966,0.333398,-0.027155,6.202119
0.050000,0.908974,4.667259,0.903105,0.785569,0.332061,-0.026744,6.200420
0.050000,0.948939,4.663912,0.943210,0.802102,0.330661,-0.027990,6.198864
0.050000,0.989720,4.660435,0.984138,0.818564,0.329241,-0.028395,6.197462
0.050000,1.031312,4.656835,1.025886,0.834954,0.327796,-0.028908,6.196225
0.050000,1.073712,4.653115,1.068449,0.851270,0.326312,-0.029674,6.195166
0.050000,1.116918,4.649282,1.111825,0.867509,0.324787,-0.030516,6.194297
0.050000,1.160926,4.645344,1.156008,0.883671,0.323235,-0.031039,6.193630
0.050000,1.205732,4.641310,1.200996,0.899753,0.321640,-0.031897,6.193178
0.050000,1.251334,4.637188,1.246783,0.915753,0.320001,-0.032782,6.192955
0.050000,1.297728,4.632990,1.293367,0.931668,0.318317,-0.033670,6.192974
0.050000,1.344911,4.628728,1.340742,0.947498,0.316589,-0.034574,6.193249
0.050000,1.392879,4.624414,1.388904,0.963238,0.314806,-0.035645,6.193795
0.050000,1.441630,4.620064,1.437848,0.978887,0.312970,-0.036718,6.194625
0.050000,1.491159,4.615693,1.487570,0.994441,0.311080,-0.037798,6.195756
0.050000,1.541464,4.611319,1.538065,1.009897,0.309126,-0.039080,6.197203
0.050000,1.592541,4.606961,1.589328,1.025252,0.307099,-0.040548,6.198983
0.050000,1.644387,4.602639,1.641353,1.040504,0.305032,-0.041341,6.201111
0.050000,1.696996,4.598376,1.694135,1.055646,0.302851,-0.043623,6.203607
0.050000,1.750367,4.594196,1.747669,1.070677,0.300626,-0.044502,6.206487
0.050000,1.804494,4.590124,1.801949,1.085593,0.298315,-0.046217,6.209771
0.050000,1.859372,4.586188,1.856968,1.100389,0.295909,-0.048111,6.213477
0.050000,1.914997,4.582419,1.912721,1.115060,0.293420,-0.049787,6.217626
0.050000,1.971365,4.578847,1.969201,1.129603,0.290868,-0.051035,6.222239
0.050000,2.028468,4.575506,2.026402,1.144013,0.288201,-0.053355,6.227336
0.050000,2.086300,4.572433,2.084316,1.158285,0.285442,-0.055179,6.232941
0.050000,2.144856,4.569666,2.142937,1.172415,0.282597,-0.056888,6.239075
0.050000,2.204126,4.567246,2.202257,1.186401,0.279719,-0.057561,6.245763
0.050000,2.264104,4.565216,2.262269,1.200233,0.276643,-0.061532,6.253029
0.050000,2.324778,4.563622,2.322964,1.213914,0.273624,-0.060362,6.260897
0.050000,2.386140,4.562512,2.384336,1.227437,0.270444,-0.063602,6.269393
0.050000,2.448178,4.561938,2.446376,1.240799,0.267250,-0.063877,6.278543
0.050000,2.510361,4.561949,2.508560,1.243671,0.057431,-4.196394,0.005104
0.050000,2.571854,4.562574,2.570056,1.229925,-0.274905,-6.646720,0.015318
0.050000,2.632343,4.563819,2.630557,1.210026,-0.397980,-2.461490,0.025932
0.050000,2.691826,4.565686,2.690070,1.190250,-0.395520,0.049199,0.036926
0.050000,2.750303,4.568176,2.748600,1.170601,-0.392983,0.050737,0.048281
0.050000,2.807773,4.571288,2.806154,1.151085,-0.390322,0.053220,0.059974
0.050000,2.864235,4.575016,2.862739,1.131704,-0.387631,0.053817,0.071983
