dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.008066,4.091474,0.000435,0.017417,0.348331,6.966625,0.000669
0.050000,0.008006,4.091474,0.000496,0.001213,-0.324065,-13.447923,0.000474
0.050000,0.007905,4.091474,0.000597,0.002019,0.016118,6.803652,0.000148
0.050000,0.009822,4.091474,0.002514,0.038339,0.726386,14.205373,6.282878
0.050000,0.013560,4.091471,0.006252,0.074759,0.728418,0.040634,6.282295
0.050000,0.018129,4.091466,0.010821,0.091389,0.332594,-7.916481,6.281585
0.050000,0.023530,4.091455,0.016223,0.108029,0.332793,0.003986,6.280750
0.050000,0.029764,4.091437,0.022457,0.124681,0.333045,0.005039,6.279791
0.050000,0.036832,4.091409,0.029524,0.141347,0.333318,0.005459,6.278712
0.050000,0.044733,4.091369,0.037426,0.158028,0.333620,0.006043,6.277513
0.050000,0.053469,4.091313,0.046162,0.174726,0.333960,0.006784,6.276199
0.050000,0.063041,4.091240,0.055734,0.191444,0.334361,0.008026,6.274772
0.050000,0.073450,4.091144,0.066143,0.208183,0.334782,0.008430,6.273236
0.050000,0.084696,4.091023,0.077390,0.224943,0.335190,0.008157,6.271594
0.050000,0.096782,4.090872,0.089477,0.241730,0.335746,0.011120,6.269850
0.050000,0.109708,4.090688,0.102404,0.258540,0.336205,0.009174,6.268009
0.050000,0.123475,4.090466,0.116173,0.275380,0.336804,0.011991,6.266075
0.050000,0.138085,4.090201,0.130785,0.292250,0.337389,0.011689,6.264052
0.050000,0.153539,4.089889,0.146243,0.309151,0.338023,0.012692,6.261946
0.050000,0.169839,4.089525,0.162547,0.326083,0.338633,0.012181,6.259763
0.050000,0.186987,4.089104,0.179700,0.343052,0.339397,0.015296,6.257507
0.050000,0.204983,4.088620,0.197703,0.360056,0.340060,0.013263,6.255184
0.050000,0.223830,4.088070,0.216557,0.377098,0.340846,0.015713,6.252801
0.050000,0.243529,4.087447,0.236266,0.394180,0.341640,0.015884,6.250364
0.050000,0.264082,4.086747,0.256831,0.411301,0.342420,0.015588,6.247879
0.050000,0.285491,4.085963,0.278255,0.428467,0.343317,0.017939,6.245354
0.050000,0.307758,4.085092,0.300538,0.445675,0.344162,0.016902,6.242796
0.050000,0.330884,4.084127,0.323685,0.462929,0.345093,0.018614,6.240211
0.050000,0.354872,4.083064,0.347696,0.480230,0.346016,0.018462,6.237607
0.050000,0.379724,4.081898,0.372575,0.497579,0.346982,0.019338,6.234993
0.050000,0.405441,4.080624,0.398324,0.514979,0.347992,0.020183,6.232376
0.050000,0.432026,4.079237,0.424946,0.532427,0.348967,0.019513,6.229764
0.050000,0.459482,4.077733,0.452442,0.549930,0.350064,0.021928,6.227166
0.050000,0.487809,4.076107,0.480817,0.567486,0.351112,0.020976,6.224590
0.050000,0.517012,4.074357,0.510071,0.585096,0.352203,0.021804,6.222046
0.050000,0.547091,4.072477,0.540210,0.602763,0.353332,0.022596,6.219542
0.050000,0.578050,4.070466,0.571234,0.620488,0.354500,0.023345,6.217087
0.050000,0.609892,4.068319,0.603147,0.638270,0.355653,0.023066,6.214692
0.050000,0.642618,4.066036,0.635953,0.656114,0.356874,0.024428,6.212366
0.050000,0.676232,4.063613,0.669654,0.674018,0.358083,0.024172,6.210118
0.050000,0.710736,4.061049,0.704253,0.691985,0.359331,0.024954,6.207959
0.050000,0.746133,4.058344,0.739754,0.710016,0.360615,0.025690,6.205899
0.050000,0.782427,4.055497,0.776160,0.728112,0.361934,0.026375,6.203949
0.050000,0.819621,4.052509,0.813473,0.746274,0.363240,0.026113,6.202119
0.050000,0.857718,4.049381,0.851699,0.764505,0.364620,0.027617,6.200420
0.050000,0.896722,4.046114,0.890839,0.782805,0.365998,0.027555,6.198864
0.050000,0.936636,4.042712,0.930898,0.801176,0.367416,0.028357,6.197462
0.050000,0.977464,4.039177,0.971879,0.819620,0.368872,0.029111,6.196225
0.050000,1.019211,4.035515,1.013786,0.838137,0.370356,0.029682,6.195166
0.050000,1.061880,4.031730,1.056622,0.856731,0.371868,0.030250,6.194297
0.050000,1.105476,4.027829,1.100392,0.875402,0.373429,0.031213,6.193630
0.050000,1.150003,4.023820,1.145100,0.894154,0.375026,0.031937,6.193178
0.050000,1.195467,4.019710,1.190749,0.912987,0.376662,0.032733,6.192955
0.050000,1.241873,4.015511,1.237344,0.931904,0.378344,0.033632,6.192974
0.050000,1.289225,4.011234,1.284890,0.950908,0.380076,0.034632,6.193249
0.050000,1.337531,4.006890,1.333390,0.970000,0.381855,0.035591,6.193795
0.050000,1.386794,4.002494,1.382849,0.989185,0.383689,0.036679,6.194625
0.050000,1.437022,3.998061,1.433272,1.008464,0.385584,0.037899,6.195756
0.050000,1.488221,3.993610,1.484664,1.027841,0.387537,0.039060,6.197203
0.050000,1.540397,3.989158,1.537030,1.047318,0.389546,0.040179,6.198983
0.050000,1.593558,3.984726,1.590375,1.066901,0.391653,0.042141,6.201111
0.050000,1.647710,3.980338,1.644705,1.086590,0.393790,0.042730,6.203607
0.050000,1.702861,3.976019,1.700024,1.106392,0.396035,0.044906,6.206487
0.050000,1.759017,3.971794,1.756340,1.126310,0.398353,0.046366,6.209771
0.050000,1.816188,3.967694,1.813657,1.146347,0.400742,0.047770,6.213477
0.050000,1.874380,3.963751,1.871983,1.166508,0.403217,0.049509,6.217626
0.050000,1.933601,3.959998,1.931323,1.186798,0.405807,0.051791,6.222239
0.050000,1.993859,3.956473,1.991684,1.207221,0.408457,0.053009,6.227336
0.050000,2.055162,3.953216,2.053073,1.227781,0.411195,0.054758,6.232941
0.050000,2.117516,3.950269,2.115497,1.248482,0.414025,0.056594,6.239075
0.050000,2.180930,3.947680,2.178963,1.269332,0.416997,0.059437,6.245763
0.050000,2.245409,3.945498,2.243480,1.290328,0.419925,0.058566,6.253029
0.050000,2.310961,3.943776,2.309054,1.311482,0.423071,0.062913,6.260897
0.050000,2.377589,3.942571,2.375693,1.332790,0.426176,0.062118,6.269393
0.050000,2.445300,3.941944,2.443406,1.354259,0.429374,0.063953,6.278543
0.050000,2.513526,3.941957,2.511632,1.364526,0.205334,-4.480805,0.005104
0.050000,2.581351,3.942647,2.579461,1.356573,-0.159054,-7.287755,0.015318
0.050000,2.648419,3.944027,2.646543,1.341638,-0.298703,-2.792979,0.025932
0.050000,2.714715,3.946109,2.712872,1.326580,-0.301158,-0.049094,0.036926
0.050000,2.780225,3.948899,2.778442,1.311394,-0.303712,-0.051090,0.048281
0.050000,2.844934,3.952402,2.843246,1.296079,-0.306318,-0.052120,0.059974
0.050000,2.908827,3.956622,2.907277,1.280624,-0.309082,-0.055279,0.071983
0.050000,2.971885,3.961556,2.970528,1.265032,-0.311854,-0.055442,0.084287
0.050000,3.034094,3.967204,3.032993,1.249293,-0.314779,-0.058507,0.096862
0.050000,3.095436,3.973560,3.094663,1.233405,-0.317750,-0.059408,0.109683
0.050000,3.155894,3.980615,3.155532,1.217366,-0.320790,-0.060806,0.122727
0.050000,3.215451,3.988360,3.215590,1.201171,-0.323903,-0.062262,0.135967
0.050000,3.274090,3.996782,3.274831,1.184818,-0.327060,-0.063138,0.149379
0.050000,3.331795,4.005865,3.333246,1.168305,-0.330248,-0.063764,0.162937
0.050000,3.388549,4.015593,3.390828,1.151632,-0.333467,-0.064372,0.176614
0.050000,3.444336,4.025945,3.447568,1.134798,-0.336684,-0.064348,0.190386
0.050000,3.499142,4.036900,3.503458,1.117803,-0.339886,-0.064024,0.204226
0.050000,3.552953,4.048433,3.558490,1.100648,-0.343112,-0.064535,0.218107
0.050000,3.605754,4.060520,3.612657,1.083336,-0.346225,-0.062260,0.232006
0.050000,3.657533,4.073133,3.665951,1.065871,-0.349309,-0.061671,0.245897
0.050000,3.708280,4.086243,3.718363,1.048255,-0.352314,-0.060111,0.259756
0.050000,3.757984,4.099819,3.769888,1.030493,-0.355249,-0.058682,0.273559
0.050000,3.806636,4.113831,3.820518,1.012588,-0.358096,-0.056953,0.287283
0.050000,3.854228,4.128245,3.870245,0.994549,-0.360779,-0.053649,0.300907
0.050000,3.900755,4.143028,3.919064,0.976382,-0.363338,-0.051184,0.314409
0.050000,3.946212,4.158147,3.966969,0.958093,-0.365780,-0.048843,0.327771
0.050000,3.990594,4.173566,4.013953,0.939689,-0.368076,-0.045915,0.340973
0.050000,4.033900,4.189250,4.060012,0.921173,-0.370328,-0.045051,0.353999
0.050000,4.076129,4.205165,4.105140,0.902562,-0.372225,-0.037943,0.366831
0.050000,4.117281,4.221275,4.149333,0.883858,-0.374078,-0.037053,0.379456
0.050000,4.157357,4.237545,4.192586,0.865069,-0.375772,-0.033882,0.391859
0.050000,4.196362,4.253941,4.234897,0.846207,-0.377235,-0.029259,0.404029
0.050000,4.234297,4.270429,4.276260,0.827263,-0.378897,-0.033231,0.415953
