dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.549961,5.652014,0.000218,0.008728,0.174560,3.491196,0.000156
0.050000,1.549970,5.652014,0.000228,0.000190,-0.170762,-6.906441,0.000129
0.050000,1.549986,5.652014,0.000243,0.000316,0.002517,3.465586,0.000084
0.050000,1.550008,5.652014,0.000266,0.000440,0.002495,-0.000439,0.000021
0.050000,1.551492,5.652014,0.001750,0.029687,0.584922,11.648529,6.283126
0.050000,1.553927,5.652014,0.004184,0.048689,0.380052,-4.097393,6.283028
0.050000,1.556804,5.652013,0.007061,0.057535,0.176925,-4.062539,6.282913
0.050000,1.560123,5.652012,0.010380,0.066380,0.176883,-0.000834,6.282782
0.050000,1.563884,5.652010,0.014141,0.075220,0.176814,-0.001389,6.282634
0.050000,1.568087,5.652007,0.018344,0.084057,0.176738,-0.001522,6.282471
0.050000,1.572731,5.652004,0.022988,0.092890,0.176655,-0.001657,6.282293
0.050000,1.577817,5.651999,0.028074,0.101718,0.176565,-0.001793,6.282101
0.050000,1.583344,5.651992,0.033601,0.110541,0.176457,-0.002168,6.281895
0.050000,1.589312,5.651984,0.039569,0.119359,0.176352,-0.002099,6.281676
0.050000,1.595720,5.651973,0.045978,0.128170,0.176235,-0.002342,6.281446
0.050000,1.602569,5.651961,0.052827,0.136976,0.176110,-0.002493,6.281204
0.050000,1.609858,5.651945,0.060115,0.145774,0.175963,-0.002948,6.280952
0.050000,1.617586,5.651927,0.067844,0.154565,0.175829,-0.002673,6.280691
0.050000,1.625754,5.651906,0.076011,0.163349,0.175675,-0.003090,6.280423
0.050000,1.634360,5.651881,0.084617,0.172125,0.175513,-0.003226,6.280147
0.050000,1.643404,5.651852,0.093662,0.180892,0.175342,-0.003416,6.279866
0.050000,1.652887,5.651819,0.103144,0.189650,0.175157,-0.003711,6.279580
0.050000,1.662807,5.651782,0.113064,0.198399,0.174983,-0.003487,6.279292
0.050000,1.673163,5.651740,0.123421,0.207138,0.174775,-0.004141,6.279002
