dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.550015,5.302014,0.000218,0.008728,0.174560,3.491196,0.000156
0.050000,1.550015,5.302014,0.000873,0.017456,0.174560,0.000000,0.000129
0.050000,1.550015,5.302014,0.001964,0.026184,0.174560,-0.000000,0.000084
0.050000,1.550015,5.302014,0.003491,0.034912,0.174560,0.000000,0.000021
0.050000,1.551472,5.302014,0.005455,0.043640,0.174560,-0.000000,6.283126
0.050000,1.553872,5.302014,0.007855,0.052368,0.174560,0.000000,6.283028
0.050000,1.556708,5.302013,0.010692,0.061096,0.174560,0.000000,6.282913
0.050000,1.559981,5.302012,0.013965,0.069824,0.174560,-0.000000,6.282782
0.050000,1.563691,5.302010,0.017674,0.078552,0.174560,0.000000,6.282634
0.050000,1.567837,5.302008,0.021820,0.087280,0.174560,-0.000000,6.282471
0.050000,1.572419,5.302004,0.026402,0.096008,0.174560,0.000000,6.282293
0.050000,1.577437,5.301999,0.031421,0.104736,0.174560,-0.000000,6.282101
0.050000,1.582892,5.301992,0.036876,0.113464,0.174560,0.000000,6.281895
0.050000,1.588784,5.301984,0.042767,0.122192,0.174560,0.000000,6.281676
0.050000,1.595111,5.301974,0.049095,0.130920,0.174560,0.000000,6.281446
0.050000,1.601876,5.301961,0.055859,0.139648,0.174560,-0.000000,6.281204
0.050000,1.609076,5.301946,0.063060,0.148376,0.174560,0.000000,6.280952
0.050000,1.616713,5.301928,0.070697,0.157104,0.174560,0.000000,6.280691
0.050000,1.624787,5.301907,0.078770,0.165832,0.174560,-0.000000,6.280423
0.050000,1.633296,5.301882,0.087280,0.174560,0.174560,0.000000,6.280147
0.050000,1.642242,5.301854,0.096226,0.183288,0.174560,0.000000,6.279866
0.050000,1.651625,5.301821,0.105609,0.192016,0.174560,-0.000000,6.279580
0.050000,1.661444,5.301784,0.115428,0.200744,0.174560,0.000000,6.279292
0.050000,1.671699,5.301743,0.125683,0.209472,0.174560,0.000000,6.279002
0.050000,1.682391,5.301697,0.136375,0.218200,0.174560,0.000000,6.278712
0.050000,1.693519,5.301645,0.147503,0.226928,0.174560,-0.000000,6.278423
0.050000,1.705083,5.301589,0.159068,0.235656,0.174560,0.000000,6.278137
0.050000,1.717084,5.301526,0.171069,0.244384,0.174560,0.000000,6.277856
0.050000,1.729521,5.301458,0.183506,0.253112,0.174560,0.000000,6.277582
0.050000,1.742395,5.301384,0.196380,0.261840,0.174560,-0.000000,6.277315
0.050000,1.755705,5.301305,0.209690,0.270568,0.174560,0.000000,6.277058
0.050000,1.769451,5.301219,0.223437,0.279296,0.174560,0.000000,6.276813
0.050000,1.783634,5.301127,0.237619,0.288024,0.174560,0.000000,6.276582
0.050000,1.798253,5.301028,0.252239,0.296752,0.174560,0.000000,6.276366
0.050000,1.813308,5.300924,0.267295,0.305480,0.174560,0.000000,6.276169
0.050000,1.828800,5.300814,0.282787,0.314208,0.174560,0.000000,6.275991
0.050000,1.844728,5.300698,0.298715,0.322936,0.174560,-0.000000,6.275835
0.050000,1.861093,5.300577,0.315080,0.331664,0.174560,0.000000,6.275704
0.050000,1.877894,5.300450,0.331882,0.340392,0.174560,0.000000,6.275600
0.050000,1.895131,5.300319,0.349120,0.349120,0.174560,0.000000,6.275524
0.050000,1.912805,5.300183,0.366794,0.357848,0.174560,0.000000,6.275480
0.050000,1.930915,5.300043,0.384904,0.366576,0.174560,0.000000,6.275470
0.050000,1.949461,5.299900,0.403451,0.375304,0.174560,-0.000000,6.275497
0.050000,1.968444,5.299755,0.422435,0.384032,0.174560,0.000000,6.275563
0.050000,1.987863,5.299608,0.441854,0.392760,0.174560,0.000000,6.275670
0.050000,2.007719,5.299460,0.461711,0.401487,0.174560,0.000000,6.275823
0.050000,2.028011,5.299313,0.482003,0.410215,0.174560,0.000000,6.276023
