dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.350283,7.552344,0.000433,0.017328,0.346552,6.931038,0.000762
0.050000,0.350283,7.552344,0.001733,0.034655,0.346552,0.000000,0.000423
0.050000,0.350833,7.552344,0.003899,0.051983,0.346552,0.000000,6.283042
0.050000,0.353865,7.552343,0.006931,0.069310,0.346552,0.000000,6.282248
0.050000,0.357764,7.552337,0.010830,0.086638,0.346552,0.000000,6.281227
0.050000,0.362529,7.552325,0.015595,0.103966,0.346552,-0.000000,6.279977
0.050000,0.368160,7.552303,0.021226,0.121293,0.346552,0.000000,6.278497
0.050000,0.374658,7.552267,0.027724,0.138621,0.346552,-0.000000,6.276786
0.050000,0.382022,7.552212,0.035088,0.155948,0.346552,0.000000,6.274842
0.050000,0.390252,7.552135,0.043319,0.173276,0.346552,0.000000,6.272664
0.050000,0.399349,7.552028,0.052416,0.190604,0.346552,0.000000,6.270250
0.050000,0.409311,7.551886,0.062379,0.207931,0.346552,-0.000000,6.267598
0.050000,0.420139,7.551702,0.073209,0.225259,0.346552,0.000000,6.264706
0.050000,0.431833,7.551467,0.084905,0.242586,0.346552,0.000000,6.261571
0.050000,0.444392,7.551174,0.097468,0.259914,0.346552,-0.000000,6.258190
0.050000,0.457816,7.550814,0.110897,0.277242,0.346552,0.000000,6.254561
0.050000,0.472105,7.550378,0.125192,0.294569,0.346552,0.000000,6.250681
0.050000,0.487257,7.549853,0.140354,0.311897,0.346552,0.000000,6.246546
0.050000,0.503273,7.549231,0.156382,0.329224,0.346552,0.000000,6.242154
0.050000,0.520152,7.548499,0.173276,0.346552,0.346552,-0.000000,6.237501
0.050000,0.537892,7.547644,0.191037,0.363879,0.346552,0.000000,6.232582
0.050000,0.556493,7.546654,0.209664,0.381207,0.346552,0.000000,6.227396
0.050000,0.575953,7.545514,0.229157,0.398535,0.346552,-0.000000,6.221937
0.050000,0.596271,7.544209,0.249517,0.415862,0.346552,0.000000,6.216201
0.050000,0.617445,7.542725,0.270744,0.433190,0.346552,0.000000,6.210184
0.050000,0.639474,7.541044,0.292836,0.450517,0.346552,-0.000000,6.203883
0.050000,0.662355,7.539150,0.315795,0.467845,0.346552,0.000000,6.197292
0.050000,0.686085,7.537025,0.339621,0.485173,0.346552,0.000000,6.190408
0.050000,0.710662,7.534649,0.364313,0.502500,0.346552,-0.000000,6.183225
0.050000,0.736083,7.532003,0.389871,0.519828,0.346552,0.000000,6.175740
0.050000,0.762344,7.529067,0.416295,0.537155,0.346552,-0.000000,6.167947
0.050000,0.789441,7.525820,0.443586,0.554483,0.346552,0.000000,6.159843
0.050000,0.817369,7.522238,0.471744,0.571811,0.346552,0.000000,6.151422
0.050000,0.846125,7.518299,0.500767,0.589138,0.346552,-0.000000,6.142682
0.050000,0.875701,7.513979,0.530658,0.606466,0.346552,0.000000,6.133616
0.050000,0.906092,7.509254,0.561414,0.623793,0.346552,0.000000,6.124222
0.050000,0.937291,7.504096,0.593037,0.641121,0.346552,0.000000,6.114496
0.050000,0.969291,7.498481,0.625526,0.658449,0.346552,0.000000,6.104435
0.050000,1.002084,7.492380,0.658882,0.675776,0.346552,-0.000000,6.094034
0.050000,1.035660,7.485765,0.693104,0.693104,0.346552,0.000000,6.083292
0.050000,1.070011,7.478608,0.728192,0.710431,0.346552,0.000000,6.072205
0.050000,1.105125,7.470877,0.764147,0.727759,0.346552,-0.000000,6.060773
0.050000,1.140990,7.462544,0.800968,0.745087,0.346552,0.000000,6.048994
0.050000,1.177595,7.453577,0.838656,0.762414,0.346552,0.000000,6.036867
0.050000,1.214926,7.443943,0.877209,0.779742,0.346552,0.000000,6.024392
0.050000,1.252968,7.433611,0.916630,0.797069,0.346552,-0.000000,6.011571
0.050000,1.291705,7.422548,0.956916,0.814397,0.346552,0.000000,5.998405
0.050000,1.331121,7.410720,0.998069,0.831725,0.346552,0.000000,5.984897
0.050000,1.371199,7.398093,1.040089,0.849052,0.346552,0.000000,5.971051
0.050000,1.411917,7.384635,1.082975,0.866380,0.346552,0.000000,5.956870
0.050000,1.453258,7.370310,1.126727,0.883707,0.346552,0.000000,5.942362
0.050000,1.495198,7.355084,1.171345,0.901035,0.346552,-0.000000,5.927534
0.050000,1.537715,7.338924,1.216830,0.918362,0.346552,0.000000,5.912393
0.050000,1.580784,7.321796,1.263182,0.935690,0.346552,0.000000,5.896949
0.050000,1.624382,7.303665,1.310399,0.953018,0.346552,0.000000,5.881214
0.050000,1.668481,7.284500,1.358483,0.970345,0.346552,0.000000,5.865199
0.050000,1.713053,7.264266,1.407434,0.987673,0.346552,-0.000000,5.848918
0.050000,1.758071,7.242933,1.457251,1.005000,0.346552,0.000000,5.832386
0.050000,1.803503,7.220470,1.507934,1.022328,0.346552,0.000000,5.815619
0.050000,1.849320,7.196846,1.559483,1.039656,0.346552,-0.000000,5.798635
0.050000,1.895490,7.172032,1.611899,1.056983,0.346552,0.000000,5.781451
0.050000,1.941980,7.146001,1.665182,1.074311,0.346552,-0.000000,5.764088
0.050000,1.988758,7.118727,1.719331,1.091638,0.346552,0.000000,5.746566
0.050000,2.035789,7.090185,1.774346,1.108966,0.346552,-0.000000,5.728906
0.050000,2.083039,7.060351,1.830227,1.126294,0.346552,0.000000,5.711131
0.050000,2.130475,7.029205,1.886975,1.143621,0.346552,-0.000000,5.693264
0.050000,2.178061,6.996726,1.944589,1.160949,0.346552,0.000000,5.675327
0.050000,2.225763,6.962896,2.003070,1.178276,0.346552,-0.000000,5.657344
