dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.401413,13.795487,0.000648,0.064790,3.239502,161.975082,5.196755
0.020000,0.401413,13.795487,0.003240,0.194370,6.479003,161.975082,5.196907
0.020000,0.401413,13.795487,0.008423,0.323950,6.479003,0.000000,5.197212
0.020000,0.401413,13.795487,0.016198,0.453530,6.479003,-0.000000,5.197669
0.020000,0.405898,13.786990,0.026564,0.583110,6.479003,0.000000,5.198279
0.020000,0.411953,13.775534,0.039522,0.712690,6.479003,0.000000,5.199043
0.020000,0.419231,13.761794,0.055072,0.842270,6.479003,-0.000000,5.199963
0.020000,0.427739,13.745771,0.073213,0.971850,6.479003,0.000000,5.201040
0.020000,0.437483,13.727470,0.093946,1.101431,6.479003,0.000000,5.202274
0.020000,0.448471,13.706898,0.117270,1.231011,6.479003,-0.000000,5.203669
0.020000,0.460716,13.684055,0.143186,1.360591,6.479003,0.000000,5.205226
0.020000,0.474225,13.658953,0.171694,1.490171,6.479003,-0.000000,5.206948
0.020000,0.489011,13.631595,0.202793,1.619751,6.479003,0.000000,5.208836
0.020000,0.505089,13.601987,0.236484,1.749331,6.479003,0.000000,5.210894
0.020000,0.522472,13.570139,0.272766,1.878911,6.479003,0.000000,5.213126
0.020000,0.541176,13.536059,0.311640,2.008491,6.479003,-0.000000,5.215534
0.020000,0.561216,13.499760,0.353106,2.138071,6.479003,0.000000,5.218122
0.020000,0.582613,13.461246,0.397163,2.267651,6.479003,0.000000,5.220895
0.020000,0.605386,13.420533,0.443812,2.397231,6.479003,-0.000000,5.223856
0.020000,0.629554,13.377632,0.493052,2.526811,6.479003,0.000000,5.227011
0.020000,0.655142,13.332557,0.544884,2.656391,6.479003,0.000000,5.230364
0.020000,0.682171,13.285322,0.599308,2.785971,6.479003,-0.000000,5.233921
0.020000,0.710670,13.235938,0.656323,2.915551,6.479003,0.000000,5.237689
0.020000,0.740664,13.184428,0.715930,3.045132,6.479003,-0.000000,5.241672
0.020000,0.772181,13.130807,0.778128,3.174712,6.479003,0.000000,5.245878
0.020000,0.805252,13.075094,0.842918,3.304292,6.479003,0.000000,5.250314
0.020000,0.839911,13.017308,0.910300,3.433872,6.479003,-0.000000,5.254988
0.020000,0.876190,12.957473,0.980273,3.563452,6.479003,0.000000,5.259908
0.020000,0.914124,12.895615,1.052838,3.693032,6.479003,0.000000,5.265083
0.020000,0.953753,12.831755,1.127994,3.822612,6.479003,0.000000,5.270522
0.020000,0.995117,12.765923,1.205743,3.952192,6.479003,-0.000000,5.276236
