dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.554354,13.292587,0.000648,0.064790,3.239502,161.975082,5.196755
0.020000,-0.554278,13.292442,0.000812,0.008216,-2.828712,-303.410691,5.196907
0.020000,-0.554125,13.292151,0.001141,0.016440,0.411187,161.994955,5.197212
0.020000,-0.553895,13.291714,0.001635,0.024679,0.411982,0.039778,5.197669
0.020000,-0.549103,13.282635,0.011901,0.513317,24.431910,1200.996358,5.198279
0.020000,-0.542661,13.270449,0.025684,0.689168,8.792547,-781.968128,5.199043
0.020000,-0.534918,13.255831,0.042227,0.827132,6.898163,-94.719186,5.199963
0.020000,-0.525865,13.238781,0.061531,0.965203,6.903586,0.271111,5.201040
0.020000,-0.515495,13.219303,0.083598,1.103328,6.906260,0.133717,5.202274
0.020000,-0.503797,13.197403,0.108427,1.241452,6.906178,-0.004072,5.203669
0.020000,-0.490758,13.173078,0.136026,1.379965,6.925643,0.973243,5.205226
0.020000,-0.476368,13.146338,0.166392,1.518287,6.916117,-0.476327,5.206948
0.020000,-0.460612,13.117186,0.199529,1.656885,6.929893,0.688789,5.208836
0.020000,-0.443473,13.085625,0.235443,1.795703,6.940897,0.550217,5.210894
0.020000,-0.424935,13.051661,0.274137,1.934685,6.949109,0.410587,5.213126
0.020000,-0.404980,13.015301,0.315613,2.073775,6.954511,0.270107,5.215534
0.020000,-0.383589,12.976555,0.359872,2.212946,6.958550,0.201977,5.218122
0.020000,-0.360737,12.935424,0.406925,2.352667,6.986021,1.373531,5.220895
0.020000,-0.336404,12.891919,0.456772,2.492366,6.984955,-0.053285,5.223856
0.020000,-0.310563,12.846050,0.509420,2.632374,7.000389,0.771663,5.227011
0.020000,-0.283188,12.797825,0.564873,2.772662,7.014426,0.701866,5.230364
0.020000,-0.254250,12.747255,0.623136,2.913174,7.025586,0.557996,5.233921
0.020000,-0.223717,12.694348,0.684222,3.054284,7.055505,1.495950,5.237689
0.020000,-0.191560,12.639121,0.748130,3.195372,7.054417,-0.054394,5.241672
0.020000,-0.157741,12.581584,0.814870,3.337003,7.081541,1.356225,5.245878
0.020000,-0.122223,12.521750,0.884451,3.479046,7.102149,1.030377,5.250314
0.020000,-0.084968,12.459635,0.956881,3.621548,7.125069,1.145985,5.254988
0.020000,-0.045934,12.395257,1.032169,3.764382,7.141716,0.832382,5.259908
0.020000,-0.005078,12.328634,1.110322,3.907627,7.162258,1.027109,5.265083
0.020000,0.037648,12.259783,1.191352,4.051523,7.194798,1.626962,5.270522
0.020000,0.082295,12.188727,1.275271,4.195937,7.220721,1.296145,5.276236
0.020000,0.128913,12.115488,1.362088,4.340835,7.244878,1.207868,5.282234
0.020000,0.177559,12.040089,1.451818,4.486522,7.284338,1.973018,5.288528
0.020000,0.228291,11.962559,1.544471,4.632663,7.307082,1.137203,5.295131
0.020000,0.281173,11.882925,1.640064,4.779639,7.348781,2.084912,5.302055
0.020000,0.336268,11.801220,1.738609,4.927259,7.380990,1.610457,5.309314
0.020000,0.393647,11.717478,1.840123,5.075703,7.422229,2.061975,5.316922
0.020000,0.453383,11.631737,1.944622,5.224911,7.460362,1.906654,5.324895
0.020000,0.515555,11.544034,2.052126,5.375227,7.515798,2.771783,5.333249
0.020000,0.580243,11.454417,2.162651,5.526235,7.550401,1.730154,5.342002
0.020000,0.647534,11.362932,2.276218,5.678365,7.606494,2.804663,5.351172
0.020000,0.717519,11.269632,2.392849,5.831550,7.659295,2.640054,5.360779
0.020000,0.790293,11.174577,2.512564,5.985727,7.708837,2.477062,5.370843
0.020000,0.865959,11.077824,2.635391,6.141355,7.781380,3.627142,5.381387
0.020000,0.944622,10.979447,2.761351,6.298004,7.832481,2.555093,5.392433
0.020000,1.026394,10.879520,2.890471,6.456007,7.900146,3.383241,5.404007
0.020000,1.111393,10.778125,3.022780,6.615455,7.972405,3.612955,5.416133
0.020000,1.199740,10.675354,3.158306,6.776299,8.042187,3.489106,5.428839
0.020000,1.291567,10.571305,3.297081,6.938741,8.122101,3.995673,5.442153
0.020000,1.387007,10.466088,3.439135,7.102692,8.197543,3.772092,5.456103
0.020000,1.486201,10.359822,3.584503,7.268395,8.285135,4.379621,5.470722
0.020000,1.589294,10.252642,3.733216,7.435651,8.362797,3.883097,5.486039
0.020000,1.696436,10.144692,3.885310,7.604731,8.454031,4.561698,5.502089
0.020000,1.807784,10.036132,4.040821,7.775560,8.541419,4.369379,5.518902
0.020000,1.923497,9.927136,4.199786,7.948226,8.633325,4.595315,5.536513
0.020000,2.043738,9.817897,4.362239,8.122643,8.720865,4.376980,5.554955
0.020000,2.168672,9.708627,4.528216,8.298869,8.811257,4.519614,5.574261
0.020000,2.298463,9.599557,4.697750,8.476713,8.892211,4.047731,5.594462
0.020000,2.433277,9.490939,4.870877,8.656317,8.980199,4.399366,5.615588
0.020000,2.573273,9.383048,5.047623,8.837314,9.049839,3.482013,5.637667
0.020000,2.718606,9.276183,5.228017,9.019686,9.118634,3.439748,5.660724
0.020000,2.869420,9.170669,5.412077,9.203001,9.165742,2.355423,5.684776
0.020000,3.025848,9.066853,5.599820,9.387138,9.206829,2.054316,5.709840
0.020000,3.188004,8.965111,5.791252,9.571609,9.223558,0.836468,5.735921
0.020000,3.355985,8.865838,5.986374,9.756092,9.224163,0.030254,5.763018
0.020000,3.529857,8.769457,6.185172,9.939915,9.191131,-1.651618,5.791121
0.020000,3.709658,8.676408,6.387623,10.122561,9.132308,-2.941120,5.820207
0.020000,3.895392,8.587147,6.593692,10.303456,9.044742,-4.378319,5.850243
0.020000,4.087020,8.502145,6.803327,10.481729,8.913681,-6.553040,5.881182
0.020000,4.284461,8.421876,7.016461,10.656733,8.750159,-8.176128,5.912963
0.020000,4.487590,8.346814,7.233016,10.827719,8.549341,-10.040885,5.945511
0.020000,4.696232,8.277424,7.452894,10.993886,8.308353,-12.049405,5.978738
0.020000,4.909250,8.214408,7.675037,11.107172,5.664275,-132.203907,6.012397
