dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000280,0.350000,0.000035,0.003489,0.174435,8.721734,0.000799
0.020000,-0.000269,0.350000,0.000045,0.000525,-0.148189,-16.131195,0.000769
0.020000,-0.000252,0.350000,0.000063,0.000875,0.017487,8.283804,0.000719
0.020000,-0.000227,0.350000,0.000087,0.001224,0.017472,-0.000758,0.000649
0.020000,-0.000196,0.350000,0.000119,0.001573,0.017450,-0.001061,0.000559
0.020000,-0.000157,0.350000,0.000157,0.001922,0.017423,-0.001364,0.000449
0.020000,-0.000112,0.350000,0.000203,0.002269,0.017390,-0.001667,0.000319
0.020000,-0.000059,0.350000,0.000255,0.002616,0.017350,-0.001970,0.000170
0.020000,-0.000000,0.350000,0.000314,0.002962,0.017305,-0.002273,0.000001
0.020000,0.000727,0.350000,0.001041,0.036337,1.668743,82.571903,6.282997
0.020000,0.001532,0.350000,0.001847,0.040282,0.197217,-73.576303,6.282788
0.020000,0.002414,0.349999,0.002729,0.044115,0.191647,-0.278497,6.282560
0.020000,0.003373,0.349999,0.003688,0.047945,0.191498,-0.007465,6.282312
0.020000,0.004409,0.349997,0.004723,0.051770,0.191249,-0.012456,6.282045
0.020000,0.005521,0.349996,0.005835,0.055599,0.191466,0.010862,6.281759
0.020000,0.006709,0.349994,0.007024,0.059423,0.191216,-0.012489,6.281453
0.020000,0.007974,0.349992,0.008288,0.063244,0.191043,-0.008679,6.281129
0.020000,0.009315,0.349989,0.009630,0.067069,0.191249,0.010313,6.280785
0.020000,0.010733,0.349985,0.011048,0.070882,0.190630,-0.030948,6.280422
0.020000,0.012227,0.349981,0.012542,0.074703,0.191070,0.021990,6.280041
0.020000,0.013797,0.349975,0.014112,0.078512,0.190464,-0.030258,6.279641
0.020000,0.015444,0.349969,0.015758,0.082328,0.190803,0.016927,6.279223
0.020000,0.017167,0.349962,0.017481,0.086132,0.190164,-0.031941,6.278787
0.020000,0.018965,0.349954,0.019280,0.089942,0.190516,0.017585,6.278332
0.020000,0.020840,0.349944,0.021155,0.093741,0.189978,-0.026908,6.277860
0.020000,0.022791,0.349933,0.023106,0.097543,0.190052,0.003690,6.277369
0.020000,0.024818,0.349921,0.025132,0.101342,0.189970,-0.004071,6.276861
0.020000,0.026920,0.349907,0.027235,0.105130,0.189416,-0.027721,6.276336
0.020000,0.029099,0.349892,0.029413,0.108923,0.189622,0.010308,6.275793
0.020000,0.031353,0.349874,0.031668,0.112711,0.189420,-0.010108,6.275234
0.020000,0.033683,0.349855,0.033997,0.116492,0.189028,-0.019565,6.274657
0.020000,0.036088,0.349834,0.036403,0.120270,0.188921,-0.005371,6.274064
0.020000,0.038569,0.349811,0.038884,0.124046,0.188822,-0.004967,6.273455
0.020000,0.041125,0.349785,0.041440,0.127819,0.188605,-0.010833,6.272829
0.020000,0.043757,0.349757,0.044072,0.131586,0.188385,-0.011010,6.272188
0.020000,0.046463,0.349726,0.046779,0.135349,0.188125,-0.012980,6.271531
0.020000,0.049245,0.349693,0.049561,0.139106,0.187848,-0.013841,6.270858
0.020000,0.052102,0.349657,0.052418,0.142860,0.187733,-0.005786,6.270171
0.020000,0.055034,0.349617,0.055350,0.146610,0.187498,-0.011717,6.269468
0.020000,0.058041,0.349575,0.058358,0.150356,0.187260,-0.011890,6.268751
0.020000,0.061123,0.349529,0.061439,0.154096,0.187019,-0.012062,6.268019
0.020000,0.064279,0.349480,0.064596,0.157831,0.186775,-0.012234,6.267273
0.020000,0.067510,0.349428,0.067827,0.161562,0.186526,-0.012405,6.266514
0.020000,0.070815,0.349371,0.071133,0.165287,0.186275,-0.012575,6.265741
0.020000,0.074195,0.349311,0.074513,0.169008,0.186020,-0.012744,6.264954
0.020000,0.077648,0.349247,0.077968,0.172722,0.185698,-0.016098,6.264155
0.020000,0.081176,0.349178,0.081496,0.176430,0.185397,-0.015073,6.263343
0.020000,0.084778,0.349105,0.085099,0.180134,0.185207,-0.009463,6.262519
0.020000,0.088454,0.349028,0.088776,0.183833,0.184939,-0.013406,6.261683
0.020000,0.092204,0.348945,0.092526,0.187526,0.184668,-0.013573,6.260836
0.020000,0.096027,0.348858,0.096350,0.191214,0.184380,-0.014398,6.259977
0.020000,0.099924,0.348766,0.100248,0.194890,0.183822,-0.027887,6.259107
0.020000,0.103894,0.348669,0.104220,0.198566,0.183807,-0.000764,6.258226
0.020000,0.107937,0.348566,0.108264,0.202237,0.183522,-0.014229,6.257335
0.020000,0.112054,0.348458,0.112382,0.205896,0.182988,-0.026702,6.256434
0.020000,0.116243,0.348344,0.116573,0.209552,0.182777,-0.010572,6.255524
0.020000,0.120506,0.348224,0.120837,0.213204,0.182623,-0.007687,6.254605
0.020000,0.124841,0.348098,0.125174,0.216843,0.181903,-0.035980,6.253676
0.020000,0.129248,0.347966,0.129584,0.220482,0.181957,0.002660,6.252740
0.020000,0.133728,0.347827,0.134066,0.224110,0.181398,-0.027957,6.251795
0.020000,0.138281,0.347682,0.138621,0.227733,0.181146,-0.012584,6.250842
0.020000,0.142905,0.347530,0.143248,0.231348,0.180769,-0.018817,6.249883
0.020000,0.147602,0.347371,0.147947,0.234957,0.180434,-0.016778,6.248916
0.020000,0.152370,0.347206,0.152718,0.238557,0.180022,-0.020577,6.247943
0.020000,0.157210,0.347033,0.157561,0.242153,0.179818,-0.010229,6.246965
0.020000,0.162121,0.346852,0.162476,0.245737,0.179159,-0.032922,6.245980
0.020000,0.167104,0.346664,0.167462,0.249319,0.179130,-0.001457,6.244990
0.020000,0.172158,0.346469,0.172520,0.252889,0.178511,-0.030942,6.243996
0.020000,0.177283,0.346265,0.177649,0.256453,0.178182,-0.016455,6.242997
0.020000,0.182479,0.346054,0.182849,0.260012,0.177935,-0.012357,6.241994
0.020000,0.187746,0.345834,0.188120,0.263560,0.177419,-0.025803,6.240988
0.020000,0.193083,0.345606,0.193462,0.267099,0.176948,-0.023560,6.239979
0.020000,0.198490,0.345369,0.198875,0.270634,0.176721,-0.011369,6.238968
0.020000,0.203968,0.345124,0.204358,0.274160,0.176302,-0.020942,6.237954
0.020000,0.209516,0.344870,0.209912,0.277677,0.175881,-0.021036,6.236939
0.020000,0.215133,0.344607,0.215535,0.281184,0.175338,-0.027152,6.235922
0.020000,0.220820,0.344336,0.221229,0.284684,0.175022,-0.015781,6.234905
0.020000,0.226577,0.344054,0.226993,0.288177,0.174634,-0.019426,6.233888
0.020000,0.232403,0.343764,0.232826,0.291661,0.174205,-0.021451,6.232871
0.020000,0.238298,0.343464,0.238729,0.295137,0.173774,-0.021551,6.231854
0.020000,0.244262,0.343155,0.244701,0.298603,0.173341,-0.021653,6.230839
0.020000,0.250295,0.342836,0.250742,0.302062,0.172906,-0.021758,6.229826
0.020000,0.256396,0.342507,0.256852,0.305511,0.172468,-0.021865,6.228815
0.020000,0.262566,0.342168,0.263031,0.308951,0.172029,-0.021975,6.227807
0.020000,0.268804,0.341819,0.269279,0.312383,0.171587,-0.022088,6.226801
0.020000,0.275110,0.341460,0.275595,0.315806,0.171143,-0.022205,6.225800
0.020000,0.281484,0.341090,0.281979,0.319220,0.170696,-0.022326,6.224803
0.020000,0.287925,0.340711,0.288432,0.322625,0.170247,-0.022452,6.223811
0.020000,0.294434,0.340320,0.294952,0.326020,0.169772,-0.023758,6.222824
0.020000,0.301010,0.339920,0.301540,0.329405,0.169210,-0.028118,6.221843
0.020000,0.307653,0.339508,0.308196,0.332782,0.168868,-0.017102,6.220868
0.020000,0.314362,0.339087,0.314919,0.336150,0.168409,-0.022958,6.219901
0.020000,0.321139,0.338654,0.321709,0.339509,0.167946,-0.023108,6.218941
0.020000,0.327981,0.338210,0.328566,0.342856,0.167354,-0.029613,6.217988
0.020000,0.334890,0.337756,0.335490,0.346194,0.166901,-0.022662,6.217045
0.020000,0.341865,0.337291,0.342481,0.349525,0.166529,-0.018614,6.216110
0.020000,0.348906,0.336814,0.349538,0.352844,0.165963,-0.028263,6.215185
0.020000,0.356013,0.336327,0.356661,0.356152,0.165385,-0.028906,6.214271
