dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000035,0.003489,0.174435,8.721734,0.000799
0.020000,0.000000,0.000000,0.000140,0.006977,0.174435,0.000000,0.000769
0.020000,0.000000,0.000000,0.000314,0.010466,0.174435,0.000000,0.000719
0.020000,0.000000,0.000000,0.000558,0.013955,0.174435,0.000000,0.000649
0.020000,0.000000,0.000000,0.000872,0.017443,0.174435,0.000000,0.000559
0.020000,0.000000,0.000000,0.001256,0.020932,0.174435,-0.000000,0.000449
0.020000,0.000000,0.000000,0.001709,0.024421,0.174435,0.000000,0.000319
0.020000,0.000000,0.000000,0.002233,0.027910,0.174435,-0.000000,0.000170
0.020000,0.000000,0.000000,0.002826,0.031398,0.174435,0.000000,0.000001
0.020000,0.000661,-0.000000,0.003489,0.034887,0.174435,0.000000,6.282997
0.020000,0.001393,-0.000000,0.004221,0.038376,0.174435,-0.000000,6.282788
0.020000,0.002196,-0.000001,0.005024,0.041864,0.174435,0.000000,6.282560
0.020000,0.003068,-0.000001,0.005896,0.045353,0.174435,0.000000,6.282312
0.020000,0.004010,-0.000002,0.006838,0.048842,0.174435,0.000000,6.282045
0.020000,0.005021,-0.000004,0.007850,0.052330,0.174435,-0.000000,6.281759
0.020000,0.006103,-0.000005,0.008931,0.055819,0.174435,0.000000,6.281453
0.020000,0.007254,-0.000007,0.010082,0.059308,0.174435,0.000000,6.281129
0.020000,0.008475,-0.000010,0.011303,0.062796,0.174435,0.000000,6.280785
0.020000,0.009766,-0.000014,0.012594,0.066285,0.174435,0.000000,6.280422
0.020000,0.011127,-0.000018,0.013955,0.069774,0.174435,0.000000,6.280041
0.020000,0.012557,-0.000022,0.015385,0.073263,0.174435,-0.000000,6.279641
0.020000,0.014057,-0.000028,0.016885,0.076751,0.174435,0.000000,6.279223
0.020000,0.015627,-0.000035,0.018455,0.080240,0.174435,0.000000,6.278787
0.020000,0.017267,-0.000042,0.020095,0.083729,0.174435,-0.000000,6.278332
0.020000,0.018976,-0.000051,0.021804,0.087217,0.174435,0.000000,6.277860
0.020000,0.020755,-0.000061,0.023584,0.090706,0.174435,-0.000000,6.277369
0.020000,0.022604,-0.000072,0.025433,0.094195,0.174435,0.000000,6.276861
0.020000,0.024523,-0.000085,0.027351,0.097683,0.174435,0.000000,6.276336
0.020000,0.026512,-0.000099,0.029340,0.101172,0.174435,-0.000000,6.275793
0.020000,0.028570,-0.000115,0.031398,0.104661,0.174435,0.000000,6.275234
0.020000,0.030698,-0.000132,0.033526,0.108149,0.174435,0.000000,6.274657
0.020000,0.032896,-0.000151,0.035724,0.111638,0.174435,-0.000000,6.274064
0.020000,0.035163,-0.000173,0.037992,0.115127,0.174435,0.000000,6.273455
0.020000,0.037501,-0.000196,0.040329,0.118616,0.174435,-0.000000,6.272829
0.020000,0.039908,-0.000222,0.042736,0.122104,0.174435,0.000000,6.272188
0.020000,0.042384,-0.000250,0.045213,0.125593,0.174435,-0.000000,6.271531
0.020000,0.044931,-0.000281,0.047760,0.129082,0.174435,0.000000,6.270858
0.020000,0.047547,-0.000314,0.050377,0.132570,0.174435,0.000000,6.270171
0.020000,0.050233,-0.000350,0.053063,0.136059,0.174435,0.000000,6.269468
0.020000,0.052989,-0.000388,0.055819,0.139548,0.174435,0.000000,6.268751
0.020000,0.055815,-0.000430,0.058645,0.143036,0.174435,-0.000000,6.268019
0.020000,0.058710,-0.000475,0.061541,0.146525,0.174435,0.000000,6.267273
0.020000,0.061675,-0.000524,0.064506,0.150014,0.174435,0.000000,6.266514
0.020000,0.064710,-0.000575,0.067541,0.153503,0.174435,0.000000,6.265741
0.020000,0.067814,-0.000631,0.070646,0.156991,0.174435,0.000000,6.264954
0.020000,0.070988,-0.000690,0.073821,0.160480,0.174435,0.000000,6.264155
0.020000,0.074232,-0.000753,0.077065,0.163969,0.174435,-0.000000,6.263343
0.020000,0.077546,-0.000820,0.080379,0.167457,0.174435,0.000000,6.262519
0.020000,0.080929,-0.000891,0.083764,0.170946,0.174435,0.000000,6.261683
0.020000,0.084382,-0.000967,0.087217,0.174435,0.174435,0.000000,6.260836
0.020000,0.087905,-0.001047,0.090741,0.177923,0.174435,0.000000,6.259977
0.020000,0.091497,-0.001132,0.094334,0.181412,0.174435,-0.000000,6.259107
0.020000,0.095159,-0.001222,0.097997,0.184901,0.174435,0.000000,6.258226
0.020000,0.098891,-0.001317,0.101730,0.188389,0.174435,0.000000,6.257335
0.020000,0.102692,-0.001417,0.105533,0.191878,0.174435,0.000000,6.256434
0.020000,0.106563,-0.001522,0.109405,0.195367,0.174435,-0.000000,6.255524
0.020000,0.110504,-0.001633,0.113348,0.198856,0.174435,-0.000000,6.254605
0.020000,0.114514,-0.001750,0.117360,0.202344,0.174435,0.000000,6.253676
0.020000,0.118594,-0.001872,0.121441,0.205833,0.174435,0.000000,6.252740
0.020000,0.122744,-0.002000,0.125593,0.209322,0.174435,0.000000,6.251795
0.020000,0.126963,-0.002135,0.129814,0.212810,0.174435,0.000000,6.250842
0.020000,0.131251,-0.002276,0.134105,0.216299,0.174435,0.000000,6.249883
0.020000,0.135610,-0.002423,0.138466,0.219788,0.174435,-0.000000,6.248916
0.020000,0.140038,-0.002577,0.142897,0.223276,0.174435,0.000000,6.247943
0.020000,0.144535,-0.002738,0.147397,0.226765,0.174435,0.000000,6.246965
0.020000,0.149102,-0.002905,0.151967,0.230254,0.174435,0.000000,6.245980
0.020000,0.153739,-0.003080,0.156607,0.233742,0.174435,0.000000,6.244990
0.020000,0.158445,-0.003263,0.161317,0.237231,0.174435,-0.000000,6.243996
0.020000,0.163221,-0.003452,0.166097,0.240720,0.174435,0.000000,6.242997
0.020000,0.168066,-0.003649,0.170946,0.244209,0.174435,0.000000,6.241994
0.020000,0.172981,-0.003855,0.175865,0.247697,0.174435,0.000000,6.240988
0.020000,0.177965,-0.004067,0.180854,0.251186,0.174435,-0.000000,6.239979
0.020000,0.183019,-0.004289,0.185912,0.254675,0.174435,0.000000,6.238968
0.020000,0.188142,-0.004518,0.191041,0.258163,0.174435,-0.000000,6.237954
0.020000,0.193335,-0.004756,0.196239,0.261652,0.174435,0.000000,6.236939
0.020000,0.198597,-0.005002,0.201507,0.265141,0.174435,-0.000000,6.235922
0.020000,0.203929,-0.005257,0.206845,0.268629,0.174435,0.000000,6.234905
0.020000,0.209330,-0.005520,0.212252,0.272118,0.174435,-0.000000,6.233888
0.020000,0.214800,-0.005793,0.217729,0.275607,0.174435,0.000000,6.232871
0.020000,0.220340,-0.006075,0.223276,0.279095,0.174435,0.000000,6.231854
0.020000,0.225950,-0.006366,0.228893,0.282584,0.174435,-0.000000,6.230839
0.020000,0.231628,-0.006666,0.234580,0.286073,0.174435,0.000000,6.229826
0.020000,0.237376,-0.006976,0.240336,0.289562,0.174435,0.000000,6.228815
0.020000,0.243194,-0.007296,0.246162,0.293050,0.174435,0.000000,6.227807
0.020000,0.249080,-0.007625,0.252058,0.296539,0.174435,-0.000000,6.226801
0.020000,0.255036,-0.007964,0.258024,0.300028,0.174435,0.000000,6.225800
0.020000,0.261062,-0.008313,0.264059,0.303516,0.174435,-0.000000,6.224803
0.020000,0.267156,-0.008673,0.270164,0.307005,0.174435,0.000000,6.223811
0.020000,0.273320,-0.009042,0.276339,0.310494,0.174435,-0.000000,6.222824
0.020000,0.279553,-0.009422,0.282584,0.313982,0.174435,0.000000,6.221843
0.020000,0.285856,-0.009812,0.288899,0.317471,0.174435,-0.000000,6.220868
0.020000,0.292228,-0.010213,0.295283,0.320960,0.174435,0.000000,6.219901
0.020000,0.298669,-0.010624,0.301737,0.324448,0.174435,-0.000000,6.218941
0.020000,0.305179,-0.011046,0.308261,0.327937,0.174435,0.000000,6.217988
0.020000,0.311758,-0.011479,0.314855,0.331426,0.174435,0.000000,6.217045
0.020000,0.318407,-0.011922,0.321518,0.334915,0.174435,-0.000000,6.216110
0.020000,0.325125,-0.012377,0.328251,0.338403,0.174435,0.000000,6.215185
0.020000,0.331912,-0.012842,0.335054,0.341892,0.174435,-0.000000,6.214271
0.020000,0.338768,-0.013318,0.341927,0.345381,0.174435,0.000000,6.213367
0.020000,0.345693,-0.013806,0.348869,0.348869,0.174435,-0.000000,6.212475
0.020000,0.352688,-0.014304,0.355882,0.352358,0.174435,0.000000,6.211594
0.020000,0.359751,-0.014814,0.362964,0.355847,0.174435,-0.000000,6.210726
0.020000,0.366884,-0.015335,0.370115,0.359335,0.174435,0.000000,6.209872
0.020000,0.374086,-0.015867,0.377337,0.362824,0.174435,-0.000000,6.209031
0.020000,0.381357,-0.016410,0.384628,0.366313,0.174435,0.000000,6.208204
0.020000,0.388698,-0.016964,0.391990,0.369802,0.174435,-0.000000,6.207392
0.020000,0.396107,-0.017530,0.399421,0.373290,0.174435,0.000000,6.206596
0.020000,0.403585,-0.018107,0.406921,0.376779,0.174435,-0.000000,6.205815
0.020000,0.411133,-0.018695,0.414492,0.380268,0.174435,0.000000,6.205052
0.020000,0.418750,-0.019294,0.422132,0.383756,0.174435,0.000000,6.204306
0.020000,0.426435,-0.019905,0.429842,0.387245,0.174435,-0.000000,6.203578
0.020000,0.434190,-0.020526,0.437622,0.390734,0.174435,0.000000,6.202868
0.020000,0.442014,-0.021158,0.445471,0.394222,0.174435,-0.000000,6.202178
0.020000,0.449908,-0.021802,0.453391,0.397711,0.174435,0.000000,6.201507
0.020000,0.457870,-0.022456,0.461380,0.401200,0.174435,0.000000,6.200857
0.020000,0.465901,-0.023122,0.469439,0.404688,0.174435,0.000000,6.200228
0.020000,0.474002,-0.023798,0.477567,0.408177,0.174435,-0.000000,6.199621
0.020000,0.482171,-0.024484,0.485766,0.411666,0.174435,0.000000,6.199037
0.020000,0.490410,-0.025182,0.494034,0.415155,0.174435,-0.000000,6.198475
0.020000,0.498718,-0.025889,0.502372,0.418643,0.174435,0.000000,6.197937
0.020000,0.507095,-0.026607,0.510780,0.422132,0.174435,-0.000000,6.197424
0.020000,0.515541,-0.027336,0.519257,0.425621,0.174435,0.000000,6.196936
0.020000,0.524057,-0.028074,0.527804,0.429109,0.174435,-0.000000,6.196474
0.020000,0.532641,-0.028822,0.536421,0.432598,0.174435,0.000000,6.196038
0.020000,0.541295,-0.029580,0.545108,0.436087,0.174435,-0.000000,6.195630
0.020000,0.550018,-0.030347,0.553865,0.439575,0.174435,0.000000,6.195249
0.020000,0.558810,-0.031124,0.562691,0.443064,0.174435,0.000000,6.194897
0.020000,0.567671,-0.031910,0.571588,0.446553,0.174435,-0.000000,6.194575
0.020000,0.576602,-0.032705,0.580553,0.450041,0.174435,0.000000,6.194282
0.020000,0.585602,-0.033508,0.589589,0.453530,0.174435,-0.000000,6.194021
0.020000,0.594671,-0.034320,0.598695,0.457019,0.174435,0.000000,6.193791
0.020000,0.603810,-0.035140,0.607870,0.460508,0.174435,-0.000000,6.193593
0.020000,0.613018,-0.035968,0.617115,0.463996,0.174435,0.000000,6.193429
0.020000,0.622295,-0.036804,0.626430,0.467485,0.174435,-0.000000,6.193298
0.020000,0.631641,-0.037647,0.635814,0.470974,0.174435,0.000000,6.193202
0.020000,0.641058,-0.038496,0.645269,0.474462,0.174435,-0.000000,6.193142
0.020000,0.650543,-0.039353,0.654793,0.477951,0.174435,0.000000,6.193118
0.020000,0.660098,-0.040216,0.664387,0.481440,0.174435,-0.000000,6.193130
0.020000,0.669723,-0.041085,0.674050,0.484928,0.174435,0.000000,6.193181
0.020000,0.679417,-0.041959,0.683784,0.488417,0.174435,-0.000000,6.193270
0.020000,0.689180,-0.042839,0.693587,0.491906,0.174435,0.000000,6.193399
0.020000,0.699014,-0.043723,0.703460,0.495394,0.174435,-0.000000,6.193568
0.020000,0.708917,-0.044612,0.713403,0.498883,0.174435,0.000000,6.193779
0.020000,0.718889,-0.045505,0.723415,0.502372,0.174435,-0.000000,6.194031
0.020000,0.728932,-0.046401,0.733498,0.505861,0.174435,0.000000,6.194327
0.020000,0.739044,-0.047300,0.743650,0.509349,0.174435,-0.000000,6.194666
