dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.793126,2.049779,0.000434,0.017355,0.347099,6.941975,6.282473
0.050000,1.792951,2.049779,0.000609,0.003494,-0.277218,-12.486325,6.283037
0.050000,1.794486,2.049779,0.002143,0.030695,0.544027,16.424882,0.000793
0.050000,1.797113,2.049783,0.004771,0.052544,0.436970,-2.141133,0.002115
0.050000,1.800488,2.049793,0.008146,0.067500,0.299131,-2.756773,0.003824
0.050000,1.804609,2.049813,0.012267,0.082421,0.298420,-0.014225,0.005926
0.050000,1.809473,2.049848,0.017131,0.097289,0.297345,-0.021510,0.008429
0.050000,1.815078,2.049903,0.022736,0.112100,0.296219,-0.022512,0.011343
0.050000,1.821419,2.049986,0.029078,0.126834,0.294692,-0.030546,0.014678
0.050000,1.828493,2.050103,0.036153,0.141495,0.293221,-0.029405,0.018448
0.050000,1.836294,2.050263,0.043956,0.156061,0.291322,-0.037981,0.022669
0.050000,1.844817,2.050477,0.052481,0.170515,0.289077,-0.044914,0.027357
0.050000,1.854056,2.050753,0.061724,0.184851,0.286707,-0.047395,0.032532
0.050000,1.864002,2.051105,0.071677,0.199055,0.284083,-0.052472,0.038216
0.050000,1.874648,2.051545,0.082332,0.213101,0.280930,-0.063057,0.044432
0.050000,1.885985,2.052088,0.093681,0.226987,0.277721,-0.064190,0.051209
0.050000,1.898000,2.052748,0.105715,0.240676,0.273771,-0.078997,0.058576
0.050000,1.910684,2.053542,0.118423,0.254165,0.269776,-0.079893,0.066568
0.050000,1.924021,2.054489,0.131794,0.267412,0.264944,-0.096658,0.075221
0.050000,1.937997,2.055608,0.145814,0.280410,0.259972,-0.099426,0.084578
0.050000,1.952593,2.056919,0.160470,0.293115,0.254087,-0.117703,0.094684
0.050000,1.967793,2.058446,0.175746,0.305512,0.247954,-0.122671,0.105591
0.050000,1.983572,2.060211,0.191623,0.317554,0.240826,-0.142544,0.117353
0.050000,1.999907,2.062242,0.208084,0.329212,0.233168,-0.153168,0.130035
0.050000,2.016770,2.064563,0.225106,0.340448,0.224721,-0.168938,0.143704
0.050000,2.034131,2.067205,0.242667,0.351209,0.215216,-0.190097,0.158436
0.050000,2.051954,2.070197,0.260740,0.361457,0.204964,-0.205049,0.174314
0.050000,2.070202,2.073570,0.279297,0.371139,0.193639,-0.226497,0.191430
0.050000,2.088831,2.077358,0.298307,0.380203,0.181283,-0.247113,0.209882
0.050000,2.107794,2.081593,0.317736,0.388594,0.167822,-0.269232,0.229781
0.050000,2.127037,2.086310,0.337549,0.396258,0.153267,-0.291089,0.251242
0.050000,2.146502,2.091545,0.357706,0.403141,0.137654,-0.312268,0.274392
0.050000,2.166126,2.097332,0.378166,0.409196,0.121100,-0.331073,0.299365
0.050000,2.185841,2.103705,0.398885,0.414381,0.103703,-0.347953,0.326299
0.050000,2.205572,2.110700,0.419819,0.418683,0.086041,-0.353233,0.355340
0.050000,2.225242,2.118347,0.440924,0.422092,0.068195,-0.356920,0.386628
0.050000,2.244772,2.126680,0.462157,0.424653,0.051203,-0.339845,0.420303
0.050000,2.264079,2.135727,0.483479,0.426445,0.035855,-0.306952,0.456487
0.050000,2.283087,2.145518,0.504860,0.427620,0.023489,-0.247328,0.495280
0.050000,2.301720,2.156083,0.526279,0.428389,0.015394,-0.161892,0.536748
0.050000,2.319912,2.167453,0.547733,0.429070,0.013619,-0.035507,0.580904
0.050000,2.337609,2.179667,0.569236,0.430066,0.019909,0.125816,0.627698
0.050000,2.354771,2.192773,0.590830,0.431871,0.036111,0.324032,0.677000
0.050000,2.371372,2.206830,0.612583,0.435057,0.063717,0.552109,0.728586
0.050000,2.387398,2.221919,0.634594,0.440231,0.103481,0.795293,0.782136
0.050000,2.402847,2.238137,0.656993,0.447982,0.155017,1.030710,0.837234
0.050000,2.417721,2.255603,0.679934,0.458817,0.216698,1.233634,0.893384
0.050000,2.432017,2.274449,0.703589,0.473094,0.285548,1.376989,0.950029
0.050000,2.445721,2.294817,0.728137,0.490970,0.357517,1.439384,1.006590
0.050000,2.458804,2.316843,0.753756,0.512382,0.428234,1.414340,1.062497
0.050000,2.471218,2.340654,0.780609,0.537051,0.493378,1.302879,1.117224
0.050000,2.482899,2.366350,0.808835,0.564528,0.549547,1.123380,1.170318
0.050000,2.493769,2.394003,0.838548,0.594256,0.594554,0.900133,1.221417
0.050000,2.503744,2.423652,0.869830,0.625634,0.627560,0.660126,1.270254
0.050000,2.512740,2.455302,0.902734,0.658081,0.648936,0.427515,1.316658
0.050000,2.520679,2.488932,0.937288,0.691078,0.659949,0.220270,1.360540
0.050000,2.527489,2.524494,0.973496,0.724173,0.661901,0.039035,1.401883
0.050000,2.533114,2.561926,1.011348,0.757038,0.657305,-0.091917,1.440725
0.050000,2.537507,2.601151,1.050818,0.789401,0.647259,-0.200918,1.477147
0.050000,2.540608,2.641606,1.091392,0.811481,0.441582,-4.113537,1.510876
0.050000,2.542419,2.682467,1.132293,0.818018,0.130749,-6.216667,1.541619
0.050000,2.543032,2.723366,1.173197,0.818076,0.001168,-2.591624,1.569555
0.050000,2.542556,2.764170,1.214004,0.816128,-0.038962,-0.802601,1.595005
0.050000,2.541315,2.809695,1.259546,0.910849,1.894414,38.667514,1.597914
0.050000,2.540054,2.856885,1.306753,0.944133,0.665676,-24.574752,1.597125
0.050000,2.538852,2.903207,1.353090,0.926756,-0.347543,-20.264377,1.596339
0.050000,2.537708,2.948662,1.398559,0.909375,-0.347619,-0.001529,1.595557
0.050000,2.536622,2.993248,1.443159,0.891990,-0.347694,-0.001500,1.594780
0.050000,2.535590,3.036966,1.486889,0.874602,-0.347768,-0.001471,1.594008
0.050000,2.534611,3.079815,1.529749,0.857210,-0.347840,-0.001443,1.593243
0.050000,2.533685,3.121796,1.571740,0.839814,-0.347911,-0.001414,1.592483
0.050000,2.532808,3.162907,1.612861,0.822415,-0.347980,-0.001385,1.591731
0.050000,2.531981,3.203149,1.653111,0.805013,-0.348048,-0.001356,1.590987
0.050000,2.531200,3.242522,1.692492,0.787607,-0.348114,-0.001328,1.590251
0.050000,2.530465,3.281025,1.731002,0.770198,-0.348179,-0.001299,1.589524
0.050000,2.529774,3.318658,1.768641,0.752786,-0.348243,-0.001270,1.588805
0.050000,2.529125,3.355420,1.805409,0.735371,-0.348305,-0.001241,1.588097
0.050000,2.528516,3.391313,1.841307,0.717952,-0.348365,-0.001212,1.587399
0.050000,2.527947,3.426335,1.876334,0.700531,-0.348424,-0.001183,1.586711
0.050000,2.527415,3.460486,1.910489,0.683107,-0.348482,-0.001154,1.586035
0.050000,2.526918,3.493766,1.943773,0.665680,-0.348538,-0.001125,1.585370
0.050000,2.526457,3.526175,1.976185,0.648250,-0.348593,-0.001096,1.584717
0.050000,2.526028,3.557713,2.007726,0.630818,-0.348647,-0.001068,1.584077
0.050000,2.525630,3.588380,2.038395,0.613383,-0.348699,-0.001039,1.583449
0.050000,2.525262,3.618175,2.068193,0.595946,-0.348749,-0.001010,1.582835
0.050000,2.524923,3.647098,2.097118,0.578506,-0.348798,-0.000981,1.582235
0.050000,2.524610,3.675150,2.125171,0.561063,-0.348846,-0.000952,1.581649
0.050000,2.524323,3.702329,2.152352,0.543619,-0.348892,-0.000923,1.581077
0.050000,2.524060,3.728636,2.178661,0.526172,-0.348937,-0.000894,1.580520
0.050000,2.523819,3.754071,2.204097,0.508723,-0.348980,-0.000865,1.579978
0.050000,2.523600,3.778634,2.228660,0.491272,-0.349022,-0.000836,1.579452
0.050000,2.523401,3.802324,2.252351,0.473819,-0.349062,-0.000807,1.578941
0.050000,2.523221,3.825142,2.275170,0.456364,-0.349101,-0.000778,1.578447
0.050000,2.523058,3.847086,2.297115,0.438907,-0.349138,-0.000750,1.577969
0.050000,2.522912,3.868158,2.318187,0.421448,-0.349174,-0.000720,1.577508
0.050000,2.522781,3.888357,2.338387,0.403988,-0.349209,-0.000692,1.577064
0.050000,2.522664,3.907683,2.357713,0.386526,-0.349242,-0.000662,1.576637
0.050000,2.522560,3.926136,2.376166,0.369062,-0.349274,-0.000635,1.576228
0.050000,2.522468,3.943716,2.393746,0.351597,-0.349304,-0.000605,1.575836
0.050000,2.522387,3.960422,2.410452,0.334130,-0.349333,-0.000577,1.575463
0.050000,2.522316,3.976255,2.426286,0.316662,-0.349360,-0.000548,1.575107
0.050000,2.522254,3.991214,2.441245,0.299193,-0.349386,-0.000518,1.574770
0.050000,2.522200,4.005300,2.455331,0.281722,-0.349411,-0.000491,1.574452
0.050000,2.522154,4.018513,2.468544,0.264251,-0.349434,-0.000461,1.574153
0.050000,2.522114,4.030852,2.480883,0.246778,-0.349455,-0.000433,1.573873
0.050000,2.522080,4.042317,2.492348,0.229304,-0.349476,-0.000404,1.573611
0.050000,2.522052,4.052908,2.502939,0.211829,-0.349494,-0.000376,1.573370
0.050000,2.522028,4.062626,2.512657,0.194354,-0.349512,-0.000346,1.573147
0.050000,2.522008,4.071470,2.521501,0.176877,-0.349528,-0.000318,1.572944
0.050000,2.521991,4.079440,2.529471,0.159400,-0.349542,-0.000289,1.572761
0.050000,2.521978,4.086536,2.536567,0.141922,-0.349555,-0.000261,1.572598
0.050000,2.521967,4.092758,2.542789,0.124444,-0.349567,-0.000232,1.572455
0.050000,2.521959,4.098106,2.548138,0.106965,-0.349577,-0.000204,1.572331
0.050000,2.521952,4.102581,2.552612,0.089486,-0.349586,-0.000174,1.572228
0.050000,2.521947,4.106181,2.556212,0.072006,-0.349593,-0.000148,1.572145
0.050000,2.521943,4.108907,2.558939,0.054526,-0.349599,-0.000117,1.572082
0.050000,2.521941,4.110760,2.560791,0.037046,-0.349603,-0.000089,1.572039
0.050000,2.521940,4.111738,2.561769,0.019566,-0.349606,-0.000061,1.572016
0.050000,2.521940,4.112008,2.562040,0.005413,-0.283062,1.330897,1.572010
0.050000,2.521940,4.112008,2.562040,0.000000,-0.108258,3.496075,1.572010
0.050000,2.521940,4.112008,2.562040,0.000000,0.000000,2.165155,1.572010
